Player,Team,Position,Status
Otto Lopez,MIA,"['2B', 'SS', 'IF', 'Util']",On the Chopping Block
Max Muncy,LAD,"['3B', 'IF', 'Util']",On the Chopping Block
Bobby Witt Jr.,KC,"['SS', 'IF', 'Util']",On the Chopping Block
Christian Walker,HOU,"['1B', 'IF', 'Util']",On the Chopping Block
Ceddanne Rafaela,BOS,"['2B', 'IF', 'OF', 'Util']",On the Chopping Block
Jarren Duran,BOS,"['OF', 'Util']",On the Chopping Block
Taylor Ward,BAL,"['OF', 'Util']",On the Chopping Block
Christian Yelich,MIL,"['OF', 'Util']",On the Chopping Block
George Springer,TOR,"['OF', 'Util', 'NA']",On the Chopping Block
Justin Crawford,PHI,"['OF', 'Util']",On the Chopping Block
Chandler Simpson,TB,"['OF', 'Util']",On the Chopping Block
Mark Vientos,NYM,"['1B', '3B', 'IF', 'Util']",On the Chopping Block
Kerry Carpenter,DET,"['OF', 'Util']",On the Chopping Block
Cristopher Sánchez,PHI,"['SP', 'P']",On the Chopping Block
Andrew Abbott,CIN,"['SP', 'P']",On the Chopping Block
Kenley Jansen,DET,"['RP', 'P']",On the Chopping Block
Drew Pomeranz,LAA,"['SP', 'RP', 'P', 'NA']",On the Chopping Block
Kyle Bradish,BAL,"['SP', 'P']",On the Chopping Block
Sandy Alcantara,MIA,"['SP', 'P']",On the Chopping Block
MacKenzie Gore,TEX,"['SP', 'P']",On the Chopping Block
Daniel Palencia,CHC,"['RP', 'P', 'IL']",On the Chopping Block
Pete Fairbanks,MIA,"['RP', 'P']",On the Chopping Block
Ryan Helsley,BAL,"['RP', 'P']",On the Chopping Block
Hunter Brown,HOU,"['SP', 'P']",On the Chopping Block
William Contreras,MIL,"['C', 'Util']",Ann Marie's Wins
Freddie Freeman,LAD,"['1B', 'IF', 'Util']",Ann Marie's Wins
Ernie Clement,TOR,"['1B', '2B', '3B', 'SS', 'IF', 'Util']",Ann Marie's Wins
Miguel Vargas,CWS,"['1B', '3B', 'IF', 'Util']",Ann Marie's Wins
Xander Bogaerts,SD,"['SS', 'IF', 'Util']",Ann Marie's Wins
Manny Machado,SD,"['3B', 'IF', 'Util']",Ann Marie's Wins
Brandon Nimmo,TEX,"['OF', 'Util']",Ann Marie's Wins
Ian Happ,CHC,"['OF', 'Util']",Ann Marie's Wins
Willi Castro,COL,"['1B', '2B', '3B', 'SS', 'IF', 'OF', 'Util']",Ann Marie's Wins
Daulton Varsho,TOR,"['OF', 'Util']",Ann Marie's Wins
Ezequiel Tovar,COL,"['SS', 'IF', 'Util']",Ann Marie's Wins
Elly De La Cruz,CIN,"['SS', 'IF', 'Util']",Ann Marie's Wins
