"ID","Player","Team","Position","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-"
"*04b00*","Brice Turang","MIL","2B,SS","26","RUM","26","15","2026","88.62","100%","0%"
"*02mwm*","Matt Olson","ATL","1B,OF","27","LIL","32","38","1st","88.11","100%","0%"
"*04n0m*","Logan Gilbert","SEA","SP","28","305","29","18","2026","87.96","99%","0%"
"*062k5*","Nick Kurtz","ATH","1B","29","KEN","23","10","2nd","87.89","100%","0%"
"*03cag*","Kyle Schwarber","PHI","1B,OF","30","RR","33","51","1st","87.87","100%","0%"
"*05jp7*","Gavin Williams","CLE","SP","31","SHS","26","15","4th","87.8","99%","0%"
"*029si*","Eduardo Rodriguez","ARI","SP","32","WEQ","33","7","1st","87.59","91%","0%"
"*041w4*","Bryan Baker","TB","RP","33","LEX","31","6","1st","87.55","87%","0%"
"*05u9o*","Sal Stewart","CIN","1B,2B,3B","34","LRB","22","8","2nd","87.49","99%","0%"
"*05u2v*","Hunter Goodman","COL","C","35","LIL","26","7","2nd","87.41","99%","0%"
"*05wru*","Paul Skenes","PIT","SP","36","YRK","24","10","3rd","87.39","100%","0%"
"*04ps7*","Joe Ryan","MIN","SP","37","LIL","30","26","1st","87.23","99%","0%"
"*02yc4*","Shohei Ohtani","LAD","UT,SP","38","ISO","32","77","1st","87.1","100%","0%"
"*04apj*","Jhoan Duran","PHI","RP","39","YRK","28","11","2027","87.02","99%","0%"
"*04lgp*","Bobby Witt Jr.","KC","SS","40","KEN","26","42","2027","86.68","100%","0%"
"*05xu5*","Zach Neto","LAA","SS","41","YRK","25","19","2026","86.23","99%","0%"
"*04eee*","Drew Rasmussen","TB","SP","42","MFR","30","12","2nd","85.76","99%","0%"
"*03btv*","Sandy Alcantara","MIA","SP","43","LRB","30","1","2028","85.63","99%","0%"
"*05js3*","Kyle Harrison","MIL","SP","44","LIL","24","10","3rd","85.45","92%","-1%"
"*02hjp*","Jacob deGrom","TEX","SP","45","YRK","38","1","2028","85.42","99%","0%"
"*03df2*","Dylan Cease","TOR","SP","46","LEX","30","27","1st","85.18","99%","0%"
"*041pz*","Pete Alonso","BAL","1B","47","305","31","43","1st","84.77","100%","0%"
"*03poo*","Peter Lambert","HOU","SP","48","TWN","29","8","1st","84.67","73%","+1%"
"*02c4q*","Nick Martinez","TB","SP,RP","49","305","35","2","1st","84.52","91%","0%"
"*04ru5*","Andy Pages","LAD","OF","50","305","25","8","3rd","84.45","99%","0%"
"*01fh9*","Bryce Harper","PHI","1B","51","YRK","33","52","2026","84.3","100%","0%"
"*01ut7*","Nathan Eovaldi","TEX","SP","52","LEX","36","7","2026","83.99","99%","0%"
"*041r1*","Jesus Luzardo","PHI","SP","53","LIL","28","29","1st","83.97","99%","0%"
"*04pr8*","Taj Bradley","MIN","SP","54","ROX","25","15","4th","83.85","94%","0%"
"*03e5m*","Bryan Reynolds","PIT","OF","55","ISO","31","10","1st","83.84","99%","0%"
"*04mlt*","Shane McClanahan","TB","SP","56","TSN","29","16","2nd","83.76","97%","0%"
"*0510l*","Emerson Hancock","SEA","SP","57","SHS","27","22","1st","83.65","88%","0%"
"*04tjl*","Otto Lopez","MIA","2B,SS","58","305","27","5","2nd","83.34","98%","0%"
"*03pjf*","Michael Soroka","ARI","SP","59","ROX","28","1","2nd","83.08","89%","0%"
"*05a1v*","Keider Montero","DET","SP,RP","60","MCM","26","10","1st","82.67","53%","-3%"
"*03dfa*","Tanner Scott","LAD","RP","61","RUM","31","10","2026","82.48","82%","0%"
"*05y7s*","Nolan McLean","NYM","SP","62","TWN","24","8","1st","82.38","99%","0%"
"*04ej3*","Riley O'Brien","STL","RP","63","305","31","7","2nd","82.33","91%","0%"
"*03qjy*","Brandon Lowe","PIT","2B","64","RUM","32","12","1st","82.3","99%","0%"
"*04aqc*","David Bednar","NYY","RP","65","NJ","31","35","1st","82.25","97%","0%"
"*041wv*","Michael King","SD","SP","66","305","31","15","1st","82.15","98%","0%"
"*040b5*","Randy Arozarena","SEA","OF","67","RUM","31","42","2026","82.06","99%","0%"
"*04c0o*","Jose Soriano","LAA","SP","68","TSN","27","3","1st","82.05","97%","0%"
"*05xod*","Sean Burke","CHW","SP","69","MFR","26","5","1st","81.53","87%","0%"
"*04pxf*","Davis Martin","CHW","SP","70","SHS","29","12","1st","81.45","91%","-1%"
"*025j1*","Robbie Ray","SF","SP","71","FLA","34","16","1st","81.23","96%","0%"
"*05uc4*","Troy Melton","DET","SP,RP","72","KEN","25","10","1st","81.18","84%","+1%"
"*04o2w*","Ben Brown","CHC","SP,RP","73","SHS","26","5","1st","81.08","70%","-2%"
"*06gwk*","Payton Tolle","BOS","SP,RP","74","TSN","23","15","1st","81.06","90%","0%"
"*02i2k*","Byron Buxton","MIN","OF","75","LEX","32","16","2026","80.7","99%","0%"
"*03ae8*","Dansby Swanson","CHC","SS","76","LIL","32","24","1st","80.52","95%","-1%"
"*05y62*","Bryan Woo","SEA","SP","77","RUM","26","16","2026","80.47","99%","0%"
"*04o4s*","Shea Langeliers","ATH","C","78","ECH","28","17","2028","80.47","100%","0%"
"*03oh0*","Willson Contreras","BOS","1B","79","ECH","34","8","1st","80.24","98%","0%"
"*04ptt*","Tarik Skubal","DET","SP","80","NJ","29","30","6th","80.16","100%","0%"
"*05udp*","Elly De La Cruz","CIN","SS","81","NJ","24","30","4th","79.89","100%","0%"
"*0316v*","Jake Bauers","MIL","1B,OF","82","ECH","30","18","1st","79.7","88%","0%"
"*05vy6*","Bryce Miller","SEA","SP","83","ROX","27","1","1st","79.64","96%","0%"
"*05jr0*","Alec Burleson","STL","1B,OF","84","KEN","27","12","2nd","79.58","99%","0%"
"*05133*","Andre Pallante","STL","SP","85","RR","27","8","1st","79.26","69%","-4%"
"*03dau*","Trevor Megill","MIL","RP","86","MFR","32","12","2027","79.22","93%","0%"
"*041vm*","Dylan Lee","ATL","RP","87","LEX","31","5","1st","79.19","61%","0%"
"*05gx4*","Dillon Dingler","DET","C","88","MFR","27","7","1st","79.17","95%","0%"
"*05sr2*","Michael McGreevy","STL","SP","89","ROX","26","5","2nd","79","81%","0%"
"*066er*","Grant Taylor","CHW","SP,RP","90","YRK","24","8","2nd","78.86","73%","0%"
"*045qo*","Jazz Chisholm Jr.","NYY","2B,3B","91","NJ","28","30","6th","78.75","99%","0%"
"*04mlf*","Casey Mize","DET","SP","92","MCM","29","3","2nd","78.55","94%","0%"
"*06fzu*","Kazuma Okamoto","TOR","1B,3B","93","YRK","30","18","1st","78.41","97%","0%"
"*04y4e*","Corbin Carroll","ARI","OF","94","LEX","25","30","4th","78.29","99%","0%"
"*0414g*","Luis Garcia Jr.","WSH","1B,2B","95","TWN","26","3","1st","78.24","95%","0%"
"*04ew7*","Aaron Ashby","MIL","SP,RP","96","LEX","28","5","1st","78.22","68%","-1%"
"*04pkt*","J.T. Ginn","ATH","SP","97","W <small>(Fri)</small>","27","10","1st","78.02","77%","-3%"
"*06f1r*","Connelly Early","BOS","SP","98","RUM","24","1","1st","77.97","92%","0%"
"*02iug*","Michael Wacha","KC","SP","99","ECH","35","2","2027","77.91","94%","-1%"
"*04eos*","Joey Cantillo","CLE","SP,RP","100","NJ","26","5","2nd","77.68","88%","0%"
"*03ynj*","Juan Soto","NYM","OF","101","NJ","27","66","2nd","77.54","100%","0%"
"*02c68*","Trea Turner","PHI","SS","102","ECH","33","37","1st","77.42","99%","0%"
"*02mw3*","Christian Walker","HOU","1B","103","YRK","35","11","2027","77.41","98%","0%"
"*05jp4*","Casey Schmitt","SF","1B,2B,3B,SS,OF","104","SHS","27","5","1st","77.36","89%","0%"
"*043ia*","Adrian Morejon","SD","RP","105","KEN","27","4","1st","77.27","56%","-1%"
"*050w9*","Gunnar Henderson","BAL","SS","106","ROX","25","30","4th","77.22","100%","0%"
"*05rch*","Colson Montgomery","CHW","3B,SS","107","TSN","24","8","2nd","77.21","98%","0%"
"*05y72*","Landen Roupp","SF","SP","108","KEN","27","6","1st","77.21","83%","0%"
"*0326s*","Ketel Marte","ARI","2B","109","TWN","32","33","2026","77.18","100%","0%"
"*05ge9*","Shota Imanaga","CHC","SP","110","305","32","8","1st","76.93","98%","0%"
"*04yie*","George Kirby","SEA","SP","111","RR","28","30","5th","76.91","99%","0%"
"*03et8*","Ranger Suarez","BOS","SP","112","WEQ","30","6","2027","76.85","98%","0%"
"*04rzp*","Rico Garcia","BAL","RP","113","WEQ","32","5","1st","76.63","58%","-2%"
"*05ynb*","Liam Hicks","MIA","C,1B","114","TSN","27","10","1st","76.57","90%","0%"
"*0516x*","Brent Headrick","NYY","RP","115","305","28","5","1st","76.51","26%","0%"
"*01cgo*","Freddie Freeman","LAD","1B","116","LIL","36","22","1st","76.41","99%","0%"
"*06aw3*","JJ Wetherholt","STL","2B,SS","117","TSN","23","10","1st","76.19","99%","0%"
"*04aok*","Gregory Soto","PIT","RP","118","305","31","5","1st","76.02","72%","-2%"
"*05gef*","Cade Cavalli","WSH","SP","119","WEQ","27","8","2nd","75.98","82%","0%"
"*041q8*","Brandon Marsh","PHI","OF","120","LEX","28","10","1st","75.91","94%","0%"
"*0596g*","Reid Detmers","LAA","SP,RP","121","LRB","27","3","1st","75.91","89%","-2%"
"*01gya*","Aroldis Chapman","BOS","RP","122","RUM","38","14","2026","75.89","98%","0%"
"*0512v*","Michael Harris II","ATL","OF","123","SHS","25","15","5th","75.87","99%","0%"
"*05t9v*","Jonathan Aranda","TB","1B","124","WEQ","28","10","2nd","75.87","98%","0%"
"*051eh*","Kevin Kelly","TB","RP","125","LRB","28","7","1st","75.63","52%","-1%"
"*03zlh*","Oneil Cruz","PIT","OF","126","RUM","27","20","5th","75.62","99%","0%"
"*03fi0*","Ozzie Albies","ATL","2B","127","SHS","29","29","2nd","75.51","99%","0%"
"*05aoc*","Eury Perez","MIA","SP","128","FLA","23","15","4th","75.33","98%","0%"
"*04pq4*","Kyle Bradish","BAL","SP","129","LIL","29","10","2nd","75.28","97%","0%"
"*03dgq*","Ryan O'Hearn","PIT","1B,OF","130","TWN","32","1","2027","75.19","96%","0%"
"*03dbm*","Logan Webb","SF","SP","131","305","29","17","2026","75.08","99%","0%"
"*03aqv*","Raisel Iglesias","ATL","RP","132","LIL","36","32","1st","75.07","97%","0%"
"*06aly*","Carson Benge","NYM","OF","133","TSN","23","8","1st","75.01","92%","0%"
"*05yb8*","Chad Patrick","MIL","SP,RP","134","RR","27","9","1st","74.94","52%","-1%"
"*0630d*","Drake Baldwin","ATL","C","135","MCM","25","10","2nd","74.92","99%","0%"
"*03120*","Cody Bellinger","NYY","1B,OF","136","TWN","31","22","2026","74.76","99%","0%"
"*03zbh*","Fernando Tatis Jr.","SD","2B,OF","137","YRK","27","46","1st","74.5","99%","0%"
"*02myt*","Steven Okert","HOU","SP,RP","138","ECH","35","5","1st","74.45","22%","+1%"
"*05a29*","Carmen Mlodzinski","PIT","SP,RP","139","MFR","27","5","1st","74.43","29%","0%"
"*05nso*","Abner Uribe","MIL","RP","140","MFR","26","3","2nd","74.26","78%","0%"
"*03nmw*","Ian Happ","CHC","OF","141","MCM","31","11","1st","74.22","98%","-1%"
"*05y23*","Tanner Bibee","CLE","SP","142","MCM","27","11","1st","74.14","94%","0%"
"*01s8u*","Mike Trout","LAA","OF,UT","143","MFR","34","26","1st","74.04","99%","0%"
"*02n2x*","Paul Sewald","ARI","RP","144","TWN","36","15","1st","74","79%","0%"
"*02hi7*","Kevin Gausman","TOR","SP","145","ECH","35","22","1st","73.86","99%","0%"
"*030uc*","Rafael Devers","SF","1B","146","RUM","29","34","1st","73.8","99%","0%"
"*03m6o*","Yandy Diaz","TB","1B","147","305","34","14","1st","73.59","99%","0%"
"*05jpd*","Ian Seymour","TB","SP,RP","148","YRK","27","13","1st","73.56","84%","-1%"
"*05yby*","Kevin McGonigle","DET","3B,SS","149","MCM","21","10","1st","73.53","98%","0%"
"*01fhm*","Martin Perez","ATL","SP","150","ECH","35","8","1st","73.37","39%","-3%"
"*04eku*","John King","MIA","SP,RP","151","FA","31","5","1st","73.32","10%","-2%"
"*060i2*","Jake Bennett","BOS","SP","152","SHS","25","9","1st","73.28","74%","+1%"
"*01svq*","Manny Machado","SD","3B","153","TWN","34","36","2nd","73.23","99%","0%"
"*02zoa*","Antonio Senzatela","COL","SP,RP","154","MCM","31","5","1st","73.22","37%","-3%"
"*03qyv*","Jake McCarthy","COL","OF","155","MFR","28","5","1st","73.2","86%","0%"
"*05t2b*","Daylen Lile","WSH","OF","156","YRK","23","5","2nd","73.18","93%","-2%"
"*0629b*","Walbert Urena","LAA","SP","157","ROX","22","7","1st","73.12","66%","-2%"
"*05yaz*","Will Warren","NYY","SP","158","LRB","27","8","2nd","72.94","91%","-3%"
"*04fhb*","Julio Rodriguez","SEA","OF","159","SHS","25","30","5th","72.91","99%","0%"
"*04eud*","Shane Drohan","MIL","SP,RP","160","ISO","27","6","1st","72.8","57%","-1%"
"*0429k*","Colin Holderman","CLE","RP","161","305","30","5","1st","72.77","23%","0%"
"*04n8z*","Xavier Edwards","MIA","2B,SS","162","ECH","26","5","2028","72.62","99%","0%"
"*02c5l*","Luke Weaver","NYM","RP","163","SHS","32","10","1st","72.55","48%","+1%"
"*05r3a*","Brandon Young","BAL","SP","164","ECH","27","10","1st","72.39","63%","-2%"
"*04q08*","Kyle Leahy","STL","SP,RP","165","ROX","29","5","2nd","72.33","44%","-1%"
"*04yig*","Brooks Lee","MIN","2B,3B,SS","166","RUM","25","10","3rd","72.33","89%","0%"
"*05jp9*","Bryce Elder","ATL","SP","167","SHS","27","10","1st","72.27","76%","-4%"
"*032lk*","Sean Newcomb","CHW","SP,RP","168","TWN","33","8","1st","72.25","22%","0%"
"*060x1*","Wilyer Abreu","BOS","OF","169","MFR","27","10","1st","72.19","97%","0%"
"*060ml*","Huascar Brazoban","NYM","SP,RP","170","305","36","5","1st","72.1","14%","-1%"
"*04eqa*","Garrett Whitlock","BOS","RP","171","RUM","30","1","2nd","71.96","61%","+1%"
"*01ub6*","Jose Ramirez","CLE","3B","172","YRK","33","57","2nd","71.87","99%","0%"
"*03yrz*","William Contreras","MIL","C","173","LRB","28","30","5th","71.8","99%","0%"
"*02mzg*","Max Muncy","LAD","3B","174","LIL","35","15","1st","71.72","97%","0%"
"*04azv*","Jake Burger","TEX","1B","175","MFR","30","11","2026","71.55","77%","-2%"
"*05w7z*","Edgardo Henriquez","LAD","RP","176","LRB","24","5","1st","71.49","21%","-1%"
"*05ua7*","Jackson Merrill","SD","OF","177","RR","23","10","3rd","71.42","98%","0%"
"*05ym7*","Fernando Cruz","NYY","RP","178","NJ","36","1","2nd","71.34","42%","0%"
"*04hyc*","Ivan Herrera","STL","C","179","YRK","26","1","2028","71.33","97%","0%"
"*0512e*","Spencer Steer","CIN","1B,2B,3B,OF","180","ISO","28","8","1st","71.24","86%","0%"
"*06491*","Orion Kerkering","PHI","RP","181","ISO","25","5","1st","71.2","31%","0%"
"*06luc*","Jack Dreyer","LAD","SP,RP","182","W <small>(Fri)</small>","27","10","1st","71.11","19%","0%"
"*04auj*","Framber Valdez","DET","SP","183","WEQ","32","26","1st","71.1","97%","0%"
"*02i2j*","Max Fried","NYY","SP","184","TWN","32","30","1st","71.09","99%","0%"
"*04pst*","Jarren Duran","BOS","OF","185","RUM","29","14","2027","71.08","95%","-1%"
"*04cd5*","MacKenzie Gore","TEX","SP","186","NJ","27","8","2026","71.08","95%","-1%"
"*05r01*","Robert Suarez","ATL","RP","187","MCM","35","9","1st","70.95","82%","-1%"
"*04ppi*","Kody Clemens","MIN","1B,2B,OF","188","ISO","30","3","1st","70.93","80%","-1%"
"*05ahe*","Curtis Mead","WSH","1B,2B,3B","189","RUM","25","5","1st","70.84","71%","+1%"
"*04nb2*","Riley Greene","DET","OF","190","KEN","25","30","5th","70.79","99%","0%"
"*04si3*","Brayan Rocchio","CLE","2B,SS","191","305","25","5","1st","70.75","77%","0%"
"*05vy5*","Carter Jensen","KC","C","192","LIL","23","5","2nd","70.66","90%","-1%"
"*0317q*","Griffin Jax","TB","SP,RP","193","ECH","31","24","1st","70.5","82%","0%"
"*04ddz*","Yohan Ramirez","PIT","RP","194","W <small>(Fri)</small>","31","10","1st","70.41","9%","0%"
"*06apx*","Trey Yesavage","TOR","SP","195","RUM","22","14","2nd","70.38","97%","0%"
"*05xpq*","Christian Scott","NYM","SP","196","WEQ","27","8","3rd","70.32","58%","+2%"
"*064no*","Spencer Miles","TOR","SP,RP","197","RUM","25","5","1st","70.17","29%","0%"
"*0425t*","Bailey Ober","MIN","SP","198","NJ","31","2","1st","70.15","74%","-1%"
"*02bx4*","Clay Holmes","NYM","SP","199","LIL","33","7","1st","70.11","77%","+1%"
"*026lz*","Josh Bell","MIN","1B","200","NJ","33","4","1st","70.08","67%","-1%"
"*05gsi*","Ceddanne Rafaela","BOS","2B,OF","201","WEQ","25","17","2nd","70.04","96%","0%"
"*03d6p*","Grant Holmes","ATL","SP","202","LIL","30","7","2nd","70.01","61%","-1%"
"*04mnw*","Ryan Weathers","NYY","SP","203","LRB","26","6","2027","69.88","87%","-2%"
"*02mwd*","Paul Blackburn","NYY","SP,RP","204","FA","32","5","1st","69.72","5%","0%"
"*041r5*","Dustin May","STL","SP","205","RUM","28","5","1st","69.55","77%","-2%"
"*066du*","Brad Lord","WSH","SP,RP","206","FA","26","5","1st","69.52","24%","-4%"
"*0403o*","Andres Munoz","SEA","RP","207","MCM","27","13","2028","69.4","96%","0%"
"*03pjd*","Josh Naylor","SEA","1B","208","LEX","29","6","2026","69.34","97%","0%"
"*05wxw*","Gordon Graceffo","STL","RP","209","FA","26","5","1st","69.24","9%","0%"
"*05y0j*","Spencer Arrighetti","HOU","SP","210","KEN","26","16","1st","69.2","79%","-7%"
"*03qmm*","Jovani Moran","BOS","SP,RP","211","FA","29","5","1st","69.12","5%","0%"
"*04aee*","Jo Adell","LAA","OF","212","KEN","27","6","2nd","68.8","92%","-1%"
"*04y9f*","Ryan Zeferjahn","LAA","RP","213","FA","28","5","1st","68.74","12%","0%"
"*04eig*","Jose Caballero","NYY","2B,3B,SS,OF","214","LIL","29","5","2026","68.59","86%","0%"
"*03atq*","Willy Adames","SF","SS","215","LIL","30","22","2026","68.54","89%","-1%"
"*04cwf*","Shane Baz","BAL","SP","216","ECH","27","8","3rd","68.5","87%","-1%"
"*02btx*","Tyler Glasnow","LAD","SP","217","ROX","32","29","1st","68.49","97%","0%"
"*04xne*","Yoendrys Gomez","MIN","SP,RP","218","KEN","26","18","1st","68.38","55%","0%"
"*05yb0*","T.J. Rumfield","COL","1B","219","ECH","26","9","1st","68.35","80%","-1%"
"*04y76*","Jacob Webb","CHC","RP","220","SHS","32","14","1st","68.3","28%","+2%"
"*02n96*","Josh Hader","HOU","RP","221","FLA","32","36","1st","68.28","97%","0%"
"*04pbq*","Geraldo Perdomo","ARI","SS","222","SHS","26","6","2nd","68.27","97%","0%"
"*041qb*","Bo Bichette","NYM","2B,3B,SS","223","TSN","28","25","2nd","68.22","99%","0%"
"*04p10*","Bryson Stott","PHI","2B","224","NJ","28","18","2026","68.13","85%","-1%"
"*04t9b*","Michael Busch","CHC","1B","225","TWN","28","17","2nd","68.08","95%","0%"
"*04ak5*","Trevor Rogers","BAL","SP","226","YRK","28","6","1st","67.98","90%","0%"
"*0473n*","Tyler Wells","BAL","SP,RP","227","KEN","31","15","1st","67.95","49%","-2%"
"*03mew*","Luis Arraez","SF","1B,2B,3B","228","TSN","29","5","1st","67.86","96%","0%"
"*04b02*","Seiya Suzuki","CHC","OF,UT","229","LIL","31","26","2026","67.85","98%","0%"
"*05xz4*","Michael Petersen","MIA","RP","230","ISO","32","5","1st","67.78","31%","0%"
"*03pir*","Kyle Tucker","LAD","OF","231","FLA","29","47","1st","67.71","99%","0%"
"*0649e*","A.J. Blubaugh","HOU","RP","232","FA","26","5","1st","67.61","15%","-1%"
"*02bzn*","Colin Rea","CHC","SP","233","ECH","36","10","1st","67.55","38%","0%"
"*041mb*","Anthony Kay","CHW","SP,RP","234","FA","31","5","1st","67.55","40%","-2%"
"*05jq2*","Andrew Abbott","CIN","SP","235","RUM","27","6","2nd","67.48","87%","-1%"
"*03svw*","Bryan Hudson","CHW","SP,RP","236","ROX","29","5","1st","67.3","12%","-1%"
"*01vxp*","Brooks Raley","NYM","RP","237","FA","38","5","1st","67.16","18%","0%"
"*041s4*","Lake Bachar","MIA","SP,RP","238","FA","31","5","1st","67.08","7%","0%"
"*03ojr*","Vladimir Guerrero Jr.","TOR","1B","239","NJ","27","52","1st","67","99%","0%"
"*03aqw*","Mauricio Dubon","ATL","2B,3B,SS,OF","240","WEQ","31","5","1st","66.92","81%","-1%"
"*04pqo*","Braydon Fisher","TOR","SP,RP","241","FA","25","5","1st","66.87","22%","-1%"
"*04nqx*","Ezequiel Duran","TEX","1B,2B,3B,SS,OF","242","SHS","27","7","1st","66.82","69%","0%"
"*02bu3*","Brandon Woodruff","MIL","SP","243","ISO","33","8","2nd","66.82","86%","-7%"
"*03d7h*","Mitch Keller","PIT","SP","244","NJ","30","11","2027","66.65","77%","-3%"
"*05rbv*","Samuel Basallo","BAL","C,1B","245","TSN","21","10","1st","66.61","93%","0%"
"*0648r*","Andrew Morris","MIN","SP,RP","246","ISO","24","5","1st","66.46","30%","+1%"
"*05y3u*","Munetaka Murakami","CHW","1B,3B","247","MFR","26","21","1st","66.44","99%","0%"
"*04pma*","Daniel Lynch","KC","RP","248","TSN","29","8","1st","66.34","23%","-1%"
"*05y2l*","Emmet Sheehan","LAD","SP","249","YRK","26","12","2nd","66.34","90%","0%"
"*0423e*","Anthony Bender","MIA","RP","250","FA","31","5","1st","66.12","16%","-1%"
"*05y5d*","Bradgley Rodriguez","SD","SP,RP","251","LRB","22","5","1st","66.1","16%","0%"
"*05gtn*","Tyler Soderstrom","ATH","1B,OF","252","FLA","24","8","3rd","66.1","98%","0%"
"*04071*","Isaac Paredes","HOU","1B,2B,3B","253","TSN","27","11","2028","65.88","93%","-1%"
"*05m1e*","Jackson Chourio","MIL","OF","254","305","22","10","3rd","65.85","99%","0%"
"*03dc4*","Freddy Peralta","NYM","SP","255","RUM","30","29","1st","65.84","96%","-1%"
"*03dpg*","Kevin Ginkel","ARI","RP","256","FA","32","5","1st","65.75","16%","0%"
"*04z9e*","George Soriano","STL","RP","257","FA","27","5","1st","65.74","15%","0%"
"*05ydo*","Juan Morillo","ARI","RP","258","LRB","27","5","1st","65.69","23%","-1%"
"*05y7x*","Cole Young","SEA","2B,SS","259","WEQ","22","10","2nd","65.58","68%","-1%"
"*03i81*","Reynaldo Lopez","ATL","SP,RP","260","LIL","32","5","1st","65.53","60%","-5%"
"*031d4*","Zack Littell","WSH","SP,RP","261","ECH","30","6","1st","65.45","33%","-1%"
"*05u9q*","Jac Caglianone","KC","1B,OF","262","LIL","23","10","2nd","65.28","96%","0%"
"*04mjn*","Eduard Bazardo","SEA","RP","263","FA","30","5","1st","65.02","36%","-1%"
"*04pkr*","Nico Hoerner","CHC","2B,SS","264","MCM","29","23","1st","64.95","98%","0%"
"*03qt6*","Tyler Phillips","MIA","SP,RP","265","W <small>(Fri)</small>","28","10","1st","64.86","22%","-2%"
"*06plc*","Sam Antonacci","CHW","2B,3B,SS,OF","266","WEQ","23","12","1st","64.86","82%","0%"
"*0597k*","Nick Gonzales","PIT","2B,3B,SS","267","305","27","5","1st","64.84","68%","-1%"
"*04b01*","Tomoyuki Sugano","COL","SP","268","RR","36","5","1st","64.82","26%","-1%"
"*02w7p*","Alex Bregman","CHC","3B","269","RUM","32","34","2nd","64.79","97%","0%"
"*04ya4*","Nasim Nunez","WSH","2B,SS","270","NJ","25","1","1st","64.71","56%","-2%"
"*04q05*","Alex Vesia","LAD","RP","271","KEN","30","5","1st","64.64","50%","-1%"
"*03sef*","Seth Lugo","KC","SP","272","MCM","36","10","1st","64.61","77%","-3%"
"*025gb*","Xander Bogaerts","SD","SS","273","LRB","33","7","1st","64.49","77%","-2%"
"*04fq2*","Javier Assad","CHC","SP,RP","274","FA","28","5","1st","64.38","34%","-4%"
"*03pje*","Taylor Ward","BAL","OF","275","LEX","32","24","2nd","64.26","93%","-1%"
"*04yk2*","Spencer Torkelson","DET","1B","276","SHS","26","7","2nd","64.24","81%","-1%"
"*01sy3*","Nolan Arenado","ARI","3B","277","FLA","35","5","1st","64.16","63%","-1%"
"*0376h*","Tyler Alexander","TEX","SP,RP","278","FA","32","5","1st","64.13","19%","-1%"
"*065ji*","Jakob Marsee","MIA","OF","279","LIL","25","10","2nd","64.1","78%","-2%"
"*03pom*","Austin Riley","ATL","3B","280","ECH","29","44","1st","64.09","93%","-1%"
"*02z0s*","Aaron Judge","NYY","OF","281","LEX","34","72","2026","64.01","99%","0%"
"*03qjz*","Taylor Clarke","ARI","RP","282","FA","33","5","1st","64","16%","-1%"
"*05y4b*","Caleb Durbin","BOS","3B","283","ECH","26","12","1st","64","76%","-1%"
"*02c2r*","Carlos Rodon","NYY","SP","284","ISO","33","7","1st","63.88","92%","-1%"
"*0648n*","Chase Meidroth","CHW","2B,3B,SS","285","KEN","24","8","1st","63.86","68%","-2%"
"*02nb6*","Drew Anderson","DET","SP,RP","286","LEX","32","1","1st","63.76","14%","-1%"
