player_name,team,position,2025,last30
Nathan Lukes,TOR,OF,7.929699837454622,
Kyle Teel,CHW,C,7.922489584852683,
Tyler Stephenson,CIN,C/DH,7.620916912068074,
Carlos Correa,HOU,3B/SS,7.505748473722941,
Matt Shaw,CHC,3B,7.498994613576793,
Jake Mangum,TBR,OF,7.214631521990311,
Liam Hicks,MIA,C/1B/DH,7.041397325194688,
Romy Gonzalez,BOS,1B/2B/SS,6.910089001306246,
Alec Bohm,PHI,1B/3B,6.908607658919502,
Victor Caratini,HOU,C/1B/DH,6.8628076400847675,
Max Kepler,PHI,OF,6.797662184148964,
Tyler Freeman,COL,2B/OF/DH,6.769804020354485,
Colson Montgomery,CHW,SS,6.706572708041892,
Spencer Horwitz,PIT,1B/2B,6.693818238086221,
Daylen Lile,WSN,OF,6.609915320777679,
Matt Wallner,MIN,OF/DH,6.332467085779843,
Colt Keith,DET,2B/3B/DH,6.3134897676726425,
Noelvi Marte,CIN,3B/OF,6.236665307483824,
Danny Jansen,MIL,C,6.156647010698639,
Sean Murphy,ATL,C,6.0995046493130864,
Wilmer Flores,SFG,1B/DH,6.072062736478823,
Andrew McCutchen,PIT,DH,6.070658776484327,
Bo Naylor,CLE,C,6.069364084746779,
Roman Anthony,BOS,OF,6.061987229854406,
Austin Riley,ATL,3B,6.052184762082898,
Josh Lowe,TBR,OF,6.051240727362465,
Cam Smith,HOU,OF,5.987949170688902,
Jake Meyers,HOU,OF,5.710562816480714,
Daulton Varsho,TOR,OF,5.668947956555733,
Tommy Pham,PIT,OF,5.545850340470934,
Willi Castro,CHC,2B/3B/SS/OF,5.4581546030870705,
Josh Jung,TEX,3B,5.247946877290438,
Kyle Higashioka,TEX,C/DH,5.133951108270627,
Brooks Lee,MIN,2B/3B/SS,5.0879948818346445,
Wenceel Perez,DET,OF,5.036463272906072,
Francisco Alvarez,NYM,C,4.874568459071655,
Carlos Santana,CHC,1B/DH,4.82368518116397,
Jeff McNeil,NYM,2B/OF,4.759869711422935,
Jordan Westburg,BAL,2B/3B,4.754784569886143,
Javier Baez,DET,3B/SS/OF,4.732361043465026,
Gavin Lux,CIN,2B/OF/DH,4.3454870815147295,
Chase Meidroth,CHW,2B/SS,4.194553586619312,
Patrick Bailey,SFG,C,4.193521538831835,
Joey Ortiz,MIL,3B/SS,4.143459474038746,
Mark Vientos,NYM,3B/DH,4.015900540408136,
Mike Tauchman,CHW,OF/DH,4.014903148631848,
Kody Clemens,MIN,1B/2B/OF,3.9704619390638043,
Heriberto Hernandez,MIA,OF/DH,3.7965235984730303,
Jonathan India,KCR,2B/3B/OF/DH,3.703947686163291,
Royce Lewis,MIN,3B/DH,3.625853500852939,
Logan O'Hoppe,LAA,C,3.5773446291029947,
Colton Cowser,BAL,OF,3.3773551087315106,
Eric Wagaman,MIA,1B/3B/OF,3.3242729448070665,
Andrew Vaughn,MIL,1B/DH,3.305213286268611,
Edgar Quero,CHW,C/DH,3.2866351146853705,
Jakob Marsee,MIA,OF,3.2674629963944493,
Miguel Andujar,CIN,3B/OF/DH,3.192068569840766,
Myles Straw,TOR,OF,3.178841113072865,
Jonah Heim,TEX,C/DH,3.12762875206466,
Pedro Pages,STL,C,3.079012865060165,
Ty France,TOR,1B,2.8432128991328303,
Starling Marte,NYM,OF/DH,2.8041755271307967,
Adley Rutschman,BAL,C/DH,2.6876289432857643,
Dylan Crews,WSN,OF,2.6650643874213564,
Nolan Arenado,STL,3B,2.62946248934702,
Luis Rengifo,LAA,2B/3B,2.610461318898791,
Nolan Gorman,STL,2B/3B/DH,2.588174236781543,
Daniel Schneemann,CLE,2B/3B/SS/OF,2.5177852832190966,
Joey Bart,PIT,C,2.4051932478487097,
Mitch Garver,SEA,C/DH,2.3318748489317853,
Adam Frazier,KCR,2B/OF/DH,2.2549396272571336,
JJ Bleday,OAK,OF,2.2349414688751645,
Ke'Bryan Hayes,CIN,3B,2.1996604005760156,
Michael Conforto,LAD,OF/DH,2.154131654890689,
Isiah Kiner-Falefa,TOR,2B/3B/SS,2.115945100972117,
Gabriel Arias,CLE,2B/3B/SS,2.047417043757374,
