player_name,team,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+
Trevor Megill,MIL,133.30641711229947,108.45155080213902,140.12064171122992
Cade Smith,CLE,107.63486068111457,101.14107120743034,110.48891640866873
Cade Povich,BAL,98.26722082577089,99.63504039305504,96.35489081271066
Clayton Kershaw,LAD,93.9456511056511,96.55415233415232,94.38068796068796
Tyler Rogers,SFG,126.41460992907801,98.33148936170214,116.22794326241134
Lucas Giolito,BOS,92.21987956936925,98.39757192384893,91.21246396204609
Miles Mikolas,STL,90.73165815240527,106.0400580034057,91.37623350361856
Orion Kerkering,PHI,117.47595628415301,108.56688524590163,124.4296174863388
Luis L. Ortiz,CLE,105.2052653359299,92.2864958617332,95.34095098993834
Kodai Senga,NYM,91.92588354037267,95.58435559006212,92.33687577639752
Mason Montgomery,TBR,123.41186813186815,99.25689276241,122.52774535809019
Will Vest,DET,108.34169811320756,114.85311320754717,117.97688679245282
Andre Pallante,STL,96.9852843706972,105.29986523101425,102.23501026950312
Robert Suarez,SDP,111.07699197145406,107.22339577757954,117.3762295569432
Mike Burrows,PIT,91.5531592689295,101.35049608355091,95.26976501305482
Aaron Civale,- - -,95.54759063219169,103.74767618789765,97.48636740219303
Matthew Liberatore,STL,93.0654803835631,97.83795787180918,92.26288841076315
Eric Lauer,TOR,94.03130468289879,100.49682049845579,88.48245463621346
Louis Varland,MIN,107.65445469798657,111.56848154362416,122.59261625119842
Scott Barlow,CIN,107.40000000000002,101.95107692307693,103.34379487179487
Kyle Hendricks,LAA,84.74230046948357,107.59920187793426,94.08671361502348
Josh Hader,HOU,120.38103897274159,98.31358504167605,115.5045821130885
Trevor Rogers,BAL,89.28697674418603,102.05976744186046,93.7882558139535
Edward Cabrera,MIA,103.79294436025113,104.76682398787617,108.52448581944145
Caleb Boushley,TEX,89.61124324324324,104.42421621621624,94.19362162162162
Jacob Latz,TEX,104.96950482097138,105.85369592409154,110.09585778530486
Tyler Anderson,LAA,96.24653429602888,99.23180505415162,92.15978339350181
Griffin Jax,MIN,116.74123287671232,113.35191780821918,129.41150684931506
Daniel Palencia,CHC,114.0277142857143,90.14314285714285,102.77585714285716
Stephen Kolek,SDP,94.52542750929368,96.83773234200743,95.21070631970262
Caleb Ferguson,PIT,107.82900662251654,96.0564238410596,101.36013245033112
Ryan Thompson,ARI,117.7510071942446,100.69739208633094,112.10928057553954
Bryan Abreu,HOU,107.16909285714284,91.48535714285714,104.28551428571431
Quinn Priester,MIL,98.87237044962005,112.07999890269662,107.4798902696623
Justin Wilson,BOS,99.98807638888889,99.48690972222224,99.19229861111111
Ryan Bergert,SDP,88.69566251189471,102.4801750097168,95.5831071663115
Taj Bradley,TBR,99.17728202909072,93.68721064239651,92.86892234102945
Justin Wrobleski,LAD,104.5636236312707,102.97590153637213,105.0339180884475
Casey Mize,DET,92.71318379262448,113.9266302884518,109.89445761359211
Brad Lord,WSN,88.5007339988256,100.44019964768056,85.87176159718146
José Buttó,NYM,97.41114922206508,94.88003889674681,97.24585219236211
Angel Zerpa,KCR,118.60942731277531,93.22845814977974,106.63947136563877
Matt Brash,SEA,114.16205882352939,97.57661764705884,113.24882352941177
Wandy Peralta,SDP,103.65576223004796,109.39404259832828,110.7953107895965
Eury Pérez,MIA,118.61164438502674,94.66627864782276,110.46902215431628
Michael Wacha,KCR,101.71215667517008,104.5098044217687,105.22903433248298
Alex Vesia,LAD,120.80818181818181,94.30860962566845,112.90352941176472
Nick Mears,MIL,102.706711409396,112.99046979865773,114.54147651006711
Jeffrey Springs,ATH,96.30617568283515,95.69488740112583,90.57748721291344
Kumar Rocker,TEX,96.7467762453555,97.70947036967064,92.42639964733294
