Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mK9,mIP,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Jeffrey Springs","OAK","SP",265.6499938964844,153.931,3.6537535680548303,-1.8850437282908965,-5.518965658633265,-4.106143853887872,-4.567517579077278,2.6036270871187024,-9.820290164715779,10.321332754670292,1.5010425899545137,"Jeffrey Springs","17677",605488
"Nick Mears","MIL","RP",740,59,-2.9022113761440105,-1.8850437282908965,-0.2919496521241626,-1.6798812871402347,1.5549744935730168,-2.8389806286075645,-8.043092178733852,8.465045403512244,1.4219532247783921,"Nick Mears","25376",683232
"Jared Jones","PIT","SP",141.14999389648438,166.87,3.4949588378135967,-1.8850437282908965,-6.248706121777226,-5.973883233800204,-2.6533481321547345,3.3454662873850602,-9.920556090824403,10.321332754670292,1.400776663845889,"Jared Jones","27863",683003
"Hunter Harvey","KCR","RP",711.4299926757812,60,-2.8337637601175887,-1.2580514245324832,-0.29224267349669125,-0.5245298742449643,-0.413610045144672,-2.7816483796085714,-8.103846157144972,8.465045403512244,1.3611992463672726,"Hunter Harvey","15507",640451
"Yuki Matsui","SDP","RP",733.1699829101562,58,-2.885686720813217,-1.8850437282908965,0.15168053840099646,-1.3587642709380148,0.6939329988917018,-2.896312877606557,-8.180194060355985,8.465045403512244,1.2848513431562578,"Yuki Matsui","33826",673513
"Jakob Junis","CLE","SP/RP",613.9000244140625,68.8158,-2.504162510571472,-1.8850437282908965,-1.4142241315947057,0.06777842881387443,-2.060832236066432,-2.276218536624705,-10.072702714334339,10.321332754670292,1.2486300403359545,"Jakob Junis","13619",596001
"Adrian Morejon","SDP","RP",629.47998046875,61,-2.756567910755017,-1.5623532660884103,0.24102666544396462,-0.9382133765309569,-0.5374491525303206,-2.7243161306095787,-8.27787317107032,8.465045403512244,1.1871722324419247,"Adrian Morejon","20039",670970
"Angel Perdomo","ATL","RP",999,54,-2.9778682023387653,-1.8850437282908965,-0.0950972687240293,-1.7512401537683517,1.499851835598621,-3.1256418736025293,-8.33503939112595,8.465045403512244,1.1300060123862934,"Angel Perdomo","17759",622780
"Seranthony Domínguez","BAL","RP",595.969970703125,63,-2.7000278805559383,-1.287117306499216,-0.8778774750780779,-0.9580865767479219,0.059166293483717956,-2.609651632611593,-8.37359457800903,8.465045403512244,1.0914508255032151,"Seranthony Dominguez","19249",622554
"Cole Sands","MIN","RP",665.719970703125,64,-2.7291887870939444,-1.5872668994063759,-0.8459395192645731,-0.2865783942295238,-0.3973651442796518,-2.5523193836126,-8.39865812788667,8.465045403512244,1.0663872756255748,"Cole Sands","21461",663485
"Ranger Suárez","PHI","SP",259.79998779296875,167.063,4.3809987391807805,-1.8850437282908965,-1.8772102499439172,-6.929081353055798,-7.302479739403298,3.3565143979290095,-10.25630193358412,10.321332754670292,1.0650308210861712,"Ranger Suarez","17277",624133
"Carlos Estévez","KCR","RP",162.25,64,-2.8138369925864857,4.48779581855569,-3.011925254074419,-2.780862419428996,-1.7380800084086596,-2.5523193836126,-8.40922823955547,8.465045403512244,1.0558171639567744,"Carlos Estevez","14542",608032
"Garrett Cleavinger","TBR","RP",732.3499755859375,63,-2.759483924158314,-0.8552816084977168,-0.9254748282557467,-2.476578183563334,1.161424773574459,-2.609651632611593,-8.465045403512244,8.465045403512244,1,"Garrett Cleavinger","17897",664076
