player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+
Rob Refsnyder,BOS,OF/,-13.163765874503133,-11.729331795245647,-12.07032615930228,-1.100441271090459,FA,-1.100441271090459,-9.51596627503538,,,,,,,,
Keaton Winn,SFG,SP/,-1.107314581002388,-2.1890199504927708,-3.0219285462115764,,FA,-1.107314581002388,-2.1060876925689116,,,,,,,,
Brad Keller,CHC,RP/,-7.204280103079316,-4.142150660974648,-8.665809479565182,-1.1311361579389838,FA,-1.1311361579389838,-5.285844100389532,,,105.81499545907964,109.55324747768,113.69655038932812,109.61129862277458,107.81320210502746,114.35614421677305
Starling Marte,NYM,OF/DH/,-5.1710802127506845,-5.154675776227468,-3.7670396908386614,-1.207467194670259,FA,-1.207467194670259,-3.8250657186217683,,,,,,,,
Bryce Elder,ATL,SP/,-1.8050854683001072,-1.2936608379277503,-4.958347786488883,-1.8029464567543383,FA,-1.2936608379277503,-2.4650101373677695,,,91.3350063371356,107.36385297845374,100.95743979721168,91.03505747126437,108.57971264367818,104.24896551724136
Spencer Turnbull,TOR,SP/RP/,-1.3010063538450938,-2.5800055078315576,,,FA,-1.3010063538450938,-1.9405059308383257,,,,,,,,
Tyrone Taylor,NYM,OF/,-4.7212818870664055,-2.592708856554401,-1.3783981572427515,-2.6034695577479163,FA,-1.3783981572427515,-2.8239646146528683,,,,,,,,
Myles Straw,TOR,OF/,-17.750986341599713,-15.620875208078886,-15.648398195333108,-1.455044585546884,FA,-1.455044585546884,-12.618826082639648,,,,,,,,
Freddy Fermin,KCR,C/DH/,-1.505060874947438,-2.9442062333886043,-1.4631514790149178,-4.560380277562902,FA,-1.4631514790149178,-2.6181997162284656,,,,,,,,
Mike Vasil,CHW,RP/,-9.588723460663264,-5.7600675223761675,-10.922426504625044,-1.493644822549502,FA,-1.493644822549502,-6.9412155775534945,,,98.99937842778792,92.3878610603291,94.6485191956124,100.58945653021442,85.7797021442495,91.46166237816765
Steven Cruz,KCR,RP/,-8.639416636122393,-4.15288541144211,-6.564842098437567,-1.5012237402104285,FA,-1.5012237402104285,-5.214591971553125,,,115.67649805447468,80.13470817120623,96.30918287937745,116.97180722891568,79.74120481927712,96.16939759036146
Aaron Bummer,ATL,RP/,-1.5020131614995904,-1.7663159288804535,-1.9452937003581885,-6.908282167778434,FA,-1.5020131614995904,-3.0304762396291665,,,115.50978417266184,93.70163069544368,100.9862350119904,112.33594312796208,93.06429699842025,99.9236440231701
Hunter Gaddis,CLE,RP/,-3.1533313626216968,-1.538705584965181,-4.25630212767538,-4.099569452535452,FA,-1.538705584965181,-3.2619771319494273,,,95.70496350364964,99.1426763990268,94.62209245742092,97.17480410834972,98.28509350220853,93.91666776648395
Sean Burke,CHW,SP/,-13.544896563604976,-10.816371973486463,-8.403285171846667,-1.6125726951150314,FA,-1.6125726951150314,-8.594281601013286,,,91.7587736865454,97.61618456786212,93.53048503284955,92.2334109758412,97.38134052310284,93.33881902675506
Yennier Cano,BAL,RP/,-2.64828492391072,-3.24298052490503,-1.6406455258343384,-11.105446799937557,FA,-1.6406455258343384,-4.659339443646911,,,105.12011363636366,90.8134090909091,95.65238636363632,112.82222412138232,91.23188867758344,102.6502256634508
Brandon Walter,HOU,RP/,-4.244480582667745,-1.6679897040001004,-6.239961938946954,,FA,-1.6679897040001004,-4.0508107418716,,,109.16025,102.34875,105.20949999999998,109.16025,102.34875,105.20949999999998
Max Kranick,NYM,RP/,-7.364903209037388,-4.775518283553308,-6.794971481456648,-1.694950852076583,FA,-1.694950852076583,-5.1575859565309825,,,102.28693617021275,109.78131914893616,111.34042553191487,105.39976231884056,107.71936231884057,112.0022608695652
Matt Manning,DET,SP/,-4.189364570627257,-1.833791911874816,-4.992375505379721,,FA,-1.833791911874816,-3.671843995960598,,,,,,,,
Jordan Leasure,CHW,RP/,-4.587442142443247,-1.9513616999162016,-2.678742253834277,-11.11740377213028,FA,-1.9513616999162016,-5.083737467081001,,,98.92745308310992,94.95844504021449,99.92563002680964,102.97738636363636,100.70568181818182,107.09363636363636
Jordan Wicks,CHC,SP/,-3.5187059882020657,-1.971386436402612,-3.98222121524992,,FA,-1.971386436402612,-3.1574378799515324,,,102.85257142857144,107.68342857142858,108.07714285714286,,,
Beau Brieske,DET,RP/,-4.871930461034061,-2.0159554205175714,-5.337589981222883,,FA,-2.0159554205175714,-4.075158620924839,,,93.72316091954023,97.54867816091952,96.56212643678155,92.93574879227052,93.63864734299516,92.89004830917877
Roman Anthony,BOS,OF/,-6.295483397919723,-4.456293583973393,-2.017425007304651,,TWN,-2.017425007304651,-4.256400663065922,,,,,,,,
Bryan King,HOU,RP/,-4.657353241701945,,-4.15550956111904,-2.022289669065345,FA,-2.022289669065345,-3.611717490628776,,,98.62691588785049,110.27177570093458,105.04518691588784,97.08449438202246,114.46134831460677,106.87280898876404
Luis Campusano,SDP,C/,-2.034328984885147,-4.292683925030919,-2.7290385462903566,-11.38617166630996,FA,-2.034328984885147,-5.110555780629095,,,,,,,,
Mitch Garver,SEA,C/DH/,-3.0884286036806783,-2.465960071691772,-2.086987602517881,-3.685436600210677,FA,-2.086987602517881,-2.8317032195252523,,,,,,,,
Keegan Akin,BAL,RP/,-2.090063749419598,-2.679055310887839,-2.4286767327482615,-8.87204312910731,FA,-2.090063749419598,-4.017459730540752,,,104.1268949756711,98.32924148488324,98.19055513640588,105.02194375,91.84200625,92.51878125
