player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+
Brendon Little,TOR,RP/,-5.428697859596841,-2.9019171619231163,-6.39372994962037,-6.588207043286245,FA,-2.9019171619231163,-5.328138003606643,,,118.61063414634148,83.83102439024388,104.7398048780488
Johan Oviedo,PIT,SP/,-6.13954696019683,-4.540534658290335,-2.9250557873461935,,FA,-2.9250557873461935,-4.535045801944453,,,,,
Nick Mears,MIL,RP/,-3.7471746115058777,-2.94679112215549,-5.059893919437337,-2.93698654266014,FA,-2.93698654266014,-3.672711548939711,,,95.39432098765432,98.78802469135805,89.07901234567902
Bailey Falter,PIT,SP/,-5.24105044648588,-6.435275209374383,-6.455438765587725,-2.937581040719944,FA,-2.937581040719944,-5.267336365541983,,,93.62337500000004,98.16695833333333,93.88725
Mike Tauchman,CHW,OF/DH/,-2.9613997036024298,-4.886069870261477,-7.701098957309775,-9.945061597514089,FA,-2.9613997036024298,-6.373407532171942,,,,,
Brock Burke,LAA,RP/,-5.832908014163525,-2.9765370610077206,-5.635071712467768,-8.462036712778499,FA,-2.9765370610077206,-5.726638375104378,,,95.6686170212766,87.345,86.74074468085107
Trevor Williams,WSN,SP/,-2.9851681232181404,-3.5927374240214087,-9.640263523648764,-3.597250916440852,W <small>(Fri)</small>,-2.9851681232181404,-4.953854996832292,,,95.52615384615385,104.10465201465202,101.6547619047619
Noah Cameron,KCR,RP/,-5.550998487368779,-2.986306121298769,-8.151575616599732,,FA,-2.986306121298769,-5.5629600750890935,,,90.73794871794873,93.50461538461538,89.45564102564103
Carson Spiers,CIN,SP/RP/,-7.0532414474046,-5.109210645816659,-7.8438038970714,-2.990200595730157,FA,-2.990200595730157,-5.749114146505704,,,94.48361300813008,88.70847588075881,86.33045094850947
Tyson Miller,CHC,RP/,-7.661889013986086,-2.995404964623535,-5.840316198146721,,FA,-2.995404964623535,-5.499203392252114,,,,,
Austin Hedges,CLE,C/,-7.549212705281299,,-6.794729834180763,-3.017027503618104,FA,-3.017027503618104,-5.786990014360055,,,64.91739130434782,76.99130434782609,43.63739130434784
Ian Hamilton,NYY,RP/,-4.022823100399156,-3.019928395657234,-5.247832598393098,-5.8593214225144035,FA,-3.019928395657234,-4.537476379240973,,,94.45404958677688,84.88198347107439,76.41223140495869
Kyle Gibson,BAL,SP/,-3.0216186730508516,-6.977944657089725,-7.482790353767872,,FA,-3.0216186730508516,-5.827451227969483,,,92.51780821917808,92.90602739726026,93.5509589041096
Ryan Borucki,PIT,RP/,-6.077110404188587,-3.06668479510457,-6.918655667383829,-8.023059574518827,FA,-3.06668479510457,-6.021377610298954,,,106.06572916666666,92.59843749999996,101.601875
Taylor Rogers,CIN,RP/,-5.9678716660324795,-3.171516713780962,-4.232130189795028,-6.084848402762058,FA,-3.171516713780962,-4.864091743092632,,,105.78981818181816,91.38848484848484,94.88133333333332
Ronny Henriquez,MIA,RP/,-7.004856328965571,-3.1720604815843068,-7.265374046025986,-7.692097742646437,FA,-3.1720604815843068,-6.283597149805576,,,101.18247999999996,88.41087999999999,90.92336000000002
Isaac Collins,MIL,2B/3B/OF/DH/,-17.068849722186048,-14.93968111067913,-14.670595007152125,-3.184061239752216,FA,-3.184061239752216,-12.46579676994238,,,,,
Phil Maton,STL,RP/,-5.661717212511204,-3.193864581616669,-3.704671930053424,-4.365608064022375,FA,-3.193864581616669,-4.231465447050917,,,105.50292237442922,104.79680365296797,110.58538812785385
Trent Thornton,SEA,RP/,-4.401607520060678,-3.1982672277738597,-3.3621385669723995,-13.003808621816914,FA,-3.1982672277738597,-5.9914554841559635,,,100.1303260869565,98.6222826086956,98.72815217391306
Allan Winans,NYY,RP/,-6.284360579133958,-3.258183792089633,-8.666957663441316,,FA,-3.258183792089633,-6.06983401155497,,,,,
Ryan Feltner,COL,SP/,-10.82471128796056,-13.97222714072931,-9.662023526233888,-3.283940123576948,FA,-3.283940123576948,-9.435725519625176,,,88.10823754789271,96.09137931034482,85.32689655172413
Alan Roden,TOR,OF/,-4.9111919583268415,-3.3463646887530594,-4.426456460124255,-7.561377542978658,FA,-3.3463646887530594,-5.061347662545703,,,,,
Eric Orze,TBR,RP/,-7.96240025337336,-3.442426606027829,-6.329034994354942,-7.985424594077168,FA,-3.442426606027829,-6.4298216119583245,,,97.56982456140352,94.34280701754386,99.59824561403508
Greg Weissert,BOS,RP/,-6.609593206747064,-3.4659655174709068,-6.01072961312617,-6.244660774598556,FA,-3.4659655174709068,-5.582737277985673,,,95.99473170731706,109.22243902439024,105.59268292682924
Tommy Pham,PIT,OF/,-5.893733733021055,-3.495115220846251,-5.993432199088517,-5.8931885356151525,W <small>(Fri)</small>,-3.495115220846251,-5.318867422142744,,,,,
Brad Lord,WSN,RP/,-7.57234337548048,-3.5021168004874506,-15.42183447507418,,FA,-3.5021168004874506,-8.832098217014037,,,84.45401574803148,95.36184657519814,81.88740736839333
Brandon Young,BAL,RP/,-6.663357973286423,-3.5411860699778233,-9.879909682662916,,FA,-3.5411860699778233,-6.694817908642388,128.0,,92.62988636363636,103.85352272727272,104.79386363636364
Justyn-Henry Malloy,DET,OF/DH/,-17.389925027708447,-16.182560649874443,-16.462446406807842,-3.5628291526718865,FA,-3.5628291526718865,-13.399440309265655,,,,,
Jakob Junis,CLE,RP/,-3.569264696556896,-5.933315845290657,-6.492652709563318,-5.800482761258956,FA,-3.569264696556896,-5.448929003167457,,,91.10065116279073,112.38502325581396,103.41934883720933
JoJo Romero,STL,RP/,-4.523281168870235,-3.584020170441734,-4.607339083456686,-11.98415111095027,FA,-3.584020170441734,-6.174697883429731,,,100.49538461538458,94.06128205128208,95.71769230769232
Tony Santillan,CIN,RP/,-7.438014938363144,-4.452320084009393,-6.8394897104556245,-3.5879285503351204,W <small>(Fri)</small>,-3.5879285503351204,-5.57943832079082,,,96.11117370892018,102.84741784037556,93.07971830985912
Joe Ross,PHI,SP/RP/,-3.6377887530731954,-5.413397120311994,-5.277920999512109,,FA,-3.6377887530731954,-4.776368957632433,,,93.750350877193,118.30973684210524,109.2730701754386
John Brebbia,DET,RP/,-6.57476050890493,,-6.9803010239330625,-3.671182276268037,FA,-3.671182276268037,-5.74208126970201,,,92.10276729559747,98.64893081761006,84.98440251572327
Brad Keller,CHC,RP/,-8.407333176886757,-3.694182224327939,-10.955691594192547,-11.889862483051438,FA,-3.694182224327939,-8.73676736961467,,,103.0124170616114,109.71374407582934,111.54454976303316
Alek Jacob,SDP,RP/,-8.785364076439793,,-7.032046947680241,-3.7346982073282646,FA,-3.7346982073282646,-6.5173697438161,,,111.96276679841904,97.18806324110672,99.76411067193676
Edouard Julien,MIN,2B/,-6.080479962114587,-4.425319982431877,-4.4709650192425245,-3.750628164589134,FA,-3.750628164589134,-4.68184828209453,,,,,
