player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+
Ryan Thompson,ARI,RP/,-7.178410217420108,-3.322147349928013,-4.770998725003129,-10.6956834001234,FA,-3.322147349928013,-6.491809923118662,,,116.29217054263566,99.73341085271316,109.5675968992248
Edwin Uceta,TBR,RP/,-6.499152181305187,-3.3425197971943454,-5.32013140496698,-9.457441654742086,FA,-3.3425197971943454,-6.154811259552149,,,96.36284697508898,104.14647686832744,98.82654804270464
Caden Dana,LAA,SP/,-8.018860415138148,-3.3441499369412453,-3.7706172859429303,,FA,-3.3441499369412453,-5.044542546007441,,,94.33714285714288,91.84321428571428,82.80178571428571
Ben Williamson,SEA,3B/,-13.837173075239768,-12.548209127082888,-13.831538521608696,-3.366031215358026,FA,-3.366031215358026,-10.895737984822345,,,,,
Alek Jacob,SDP,RP/,-9.324411392176726,-3.3886687342923363,-7.398516316483894,-8.276187910291465,FA,-3.3886687342923363,-7.096946088311106,,,108.7810625,91.3400625,94.66400000000002
Slade Cecconi,CLE,SP/RP/,-4.128640704482732,,-3.4052222638932736,,FA,-3.4052222638932736,-3.7669314841880026,,,,,
Andrew Chafin,WSN,RP/,-6.129940857752748,-3.41514897671499,-6.6508545193784725,,FA,-3.41514897671499,-5.398648117948738,,,102.68302325581394,93.93441860465116,97.56186046511628
Justin Sterner,ATH,RP/,-7.733408259869048,-3.8603449885177135,-3.908508935390218,-3.505589129985381,FA,-3.505589129985381,-4.75196282844059,,,109.56683333333332,85.44305555555556,89.86511111111112
Kyle Gibson,BAL,SP/,-3.508107278759449,-5.613091296806535,-5.741661556727463,-17.309018265021344,FA,-3.508107278759449,-8.042969599328698,,,90.48137339055792,90.3835193133047,89.97278969957081
Connor Gillispie,MIA,SP/,-6.935209634066447,-3.524258512134825,-7.182226355958811,-15.13446713513795,FA,-3.524258512134825,-8.194040409324508,,,91.62425702811244,93.88281124497992,85.78819277108431
Luis Campusano,SDP,C/,-3.5257139004682845,-4.905127533916281,-4.7737050523143685,-10.794296969705869,FA,-3.5257139004682845,-5.999710864101201,,,,,
