player_name,is_drafted,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,Position(s),NFBC_ADP,bp_expert_count,eno,closermonkey rank,Stuff+,Location+,Pitching+,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+,Events,EV,maxEV,Barrel%,HardHit%,wOBA,xwOBA
Justin Turner,,CHC,1B/DH/,-7.6888416555955,-10.11013474677518,-9.961068750382177,-9.72558792450715,FA,-7.6888416555955,-9.371408269315003,,,,,,,,,,,,81.0,88.10457055362654,104.223,0.02469136,0.25925926,0.2522462005155128,0.304
Evan Sisk,,KCR,RP/,-7.703488999585559,,-9.985956716598656,,FA,-7.703488999585559,-8.844722858092108,,,,,,105.35253731343283,76.39477611940298,80.63432835820898,105.66565392354124,79.26619718309858,82.20480885311872,0.0,,,,,0.0,
Colin Holderman,,PIT,RP/,-8.219530951755159,,-7.725366382051231,,FA,-7.725366382051231,-7.972448666903195,P,444.0,,,,117.71819494584835,84.0327797833935,97.49306859205774,122.01024390243904,86.57658536585366,105.29463414634148,0.0,,,,,0.0,
David Morgan,,SDP,RP/,-7.895193190187738,,-7.730170616950138,,FA,-7.730170616950138,-7.812681903568938,,,,,,111.37015075376884,83.24361809045223,88.97226130653263,111.41955000000002,83.35630714285715,89.09958214285714,0.0,,,,,0.0,
Kevin Herget,,ATL,RP/,-7.740227265503304,,-8.755627326958097,,FA,-7.740227265503304,-8.2479272962307,,,,,,,,,,,,,,,,,,
Scott Blewett,,BAL,RP/,-8.947016543910983,,-10.247650989575185,-7.75458865990629,FA,-7.75458865990629,-8.983085397797486,,,,,,,,,,,,,,,,,,
Jackson Kowar,,SEA,RP/,-7.810623023962945,,-9.212242208629911,,FA,-7.810623023962945,-8.511432616296428,,,,,,99.45960264900664,107.101059602649,101.5230463576159,99.07696651949963,106.80531181015452,100.96823307579102,0.0,,,,,0.0,
Erik Sabrowski,,CLE,RP/,-7.818173151734143,,-8.542609980452765,,FA,-7.818173151734143,-8.180391566093455,,,,,,,,,,,,,,,,,,
Luis Matos,,SFG,OF/,-22.602164850642648,-22.03399028994583,-20.599731790309153,-7.87770512252408,FA,-7.87770512252408,-18.278398013355428,,,,,,,,,,,,62.0,87.85854807207662,111.632,0.08064516,0.35483871,0.2491284342188584,0.29
Joey Wentz,,MIN,RP/,-7.881787712098021,,-10.776907989137015,-10.452863280034542,FA,-7.881787712098021,-9.703852993756525,,,,,,,,,,,,,,,,,,
Justin Garza,,NYM,RP/,-8.86494070945596,,-7.924475380340878,,FA,-7.924475380340878,-8.394708044898419,,,,,,102.50499999999998,108.42461538461536,110.65,102.14366013071896,108.26897603485838,110.48544662309368,0.0,,,,,0.0,
Nick Burdi,,BOS,RP/,-7.926343621555539,,,,FA,-7.926343621555539,-7.926343621555539,,,,,,101.80762886597938,89.73443298969072,91.1841237113402,101.72899841791408,89.7929755385177,91.24596081294877,0.0,,,,,0.0,
Ethan Roberts,,CHC,RP/,-8.730123530314607,,-8.05173423528532,,FA,-8.05173423528532,-8.390928882799964,,,,,,105.86440944881888,98.8488188976378,104.32551181102362,,,,0.0,,,,,0.0,
Nic Enright,,CLE,RP/,-8.11984372167461,,-8.064507007816688,,FA,-8.064507007816688,-8.09217536474565,,,,,,95.10468571428572,90.74,85.83519999999999,95.1046857142857,90.74,85.8352,0.0,,,,,0.0,
Nate Pearson,,CHC,RP/,-8.07124259832677,,-8.449611989003957,,FA,-8.07124259832677,-8.260427293665362,,,,,,105.56627218934912,89.18402366863907,98.4957396449704,,,,0.0,,,,,0.0,
Grant Holman,,ATH,RP/,-8.982504994459958,,-10.013937526650407,-8.086551300324992,FA,-8.086551300324992,-9.02766460714512,,,,,,92.2889039065225,96.2568782699686,93.48066402162536,92.851401179941,88.2599557522124,86.63053097345134,0.0,,,,,0.0,
Max Schuemann,,ATH,2B/3B/SS/,-17.57148680279259,-17.69035347540642,-17.772866390300557,-8.13318362035136,FA,-8.13318362035136,-15.291972572212732,,,,,,,,,,,,65.0,85.65824890136719,105.688,0.03076923,0.27692308,0.314037624746561,0.303
Collin Snider,,SEA,RP/,-8.144274791982884,,-8.56132256356736,-10.957922026562295,FA,-8.144274791982884,-9.221173127370847,,,,,,101.28927536231885,107.47287784679092,101.93946169772262,96.329621749409,111.14606776989756,101.53263199369582,0.0,,,,,0.0,
Cole Henry,,WSN,RP/,-8.17848035269946,,-10.756902535382755,-9.367291159602368,FA,-8.17848035269946,-9.434224682561528,,,,,,110.994609375,98.7166015625,107.4359375,102.62871148459382,75.24246498599439,75.8766162464986,0.0,,,,,0.0,
Tyler Kinley,,COL,RP/,-9.730122387302604,-8.208881878761526,-8.929664671480758,-18.24849599330855,FA,-8.208881878761526,-11.279291232713359,P,405.0,,,,103.42895330112717,97.3752012882448,100.85533011272138,104.98524137931037,95.64324137931035,102.10510344827584,0.0,,,,,0.0,
Scott Effross,,NYY,RP/,-8.232112267368553,,-8.639112517495784,,FA,-8.232112267368553,-8.43561239243217,,,,,,131.3114285714286,240.3028571428571,249.06,131.3114285714286,240.3028571428571,249.06,0.0,,,,,0.0,
Shinnosuke Ogasawara,,WSN,RP/,-8.346370941950592,-8.239564019505595,-12.636845062116132,,FA,-8.239564019505595,-9.740926674524106,,,,,,,,,,,,,,,,,,
Anthony Misiewicz,,MIN,RP/,-8.510413163957239,,-8.24603899867606,,FA,-8.24603899867606,-8.37822608131665,,,,,,,,,,,,,,,,,,
Bradgley Rodriguez,,SDP,RP/,-8.975679705589728,,-8.284763854209944,,FA,-8.284763854209944,-8.630221779899836,,,,,,85.0168,47.6176,46.8776,85.0168,47.6176,46.8776,0.0,,,,,0.0,
Michael Tonkin,,MIN,RP/,-8.324581967244052,,-8.499080890019973,,FA,-8.324581967244052,-8.411831428632013,,,,,,,,,,,,,,,,,,
Zack Kelly,,BOS,RP/,-8.331679245091886,,-9.780907907725783,-11.075396340623492,FA,-8.331679245091886,-9.729327831147053,,,,,,108.85507142857146,94.48507142857144,102.67571428571428,112.7235303030303,93.53680303030302,107.05639393939394,0.0,,,,,0.0,
Caden Dana,,LAA,RP/,-11.22506149427336,-8.402143884626796,-13.213987013604344,,FA,-8.402143884626796,-10.947064130834834,,,,,,88.88319327731092,85.8035294117647,79.04201680672269,84.15809523809524,80.85428571428571,76.03777777777778,0.0,,,,,0.0,
Jason Alexander,,HOU,RP/,-8.425667044150185,-9.420002706985144,-14.379583481632778,,FA,-8.425667044150185,-10.74175107758937,,,,,,,,,,,,,,,,,,
Thomas Saggese,,STL,2B/3B/SS/,-18.64710934707664,-18.904530570523924,-18.2699206386512,-8.434911020933216,FA,-8.434911020933216,-16.064117894296245,,,,,,,,,,,,31.0,91.86812468497985,109.877,0.06451613,0.48387097,0.3754631186073476,0.334
Justin Bruihl,,TOR,RP/,-8.481533520774855,,-10.379030235418382,,FA,-8.481533520774855,-9.430281878096618,,,,,,100.716,135.07333333333332,126.84933333333336,100.716,135.07333333333332,126.84933333333336,0.0,,,,,0.0,
Luke Maile,,KCR,C/,-14.82385816772958,-14.186044060718418,-12.901357640507005,-8.49689334294268,FA,-8.49689334294268,-12.602038302974421,,,,,,,,,,,,7.0,96.32420857747395,106.053,0.14285714,0.42857143,0.5238255620002746,0.58
T.J. McFarland,,ATH,RP/,-9.371336103850064,-8.49787784928315,-10.849284681527026,,FA,-8.49787784928315,-9.572832878220078,,,,,,85.99608510638296,106.0194042553191,91.40178723404252,89.95555555555556,114.68472222222223,99.8763888888889,0.0,,,,,0.0,
Jose Iglesias,,SDP,2B/3B/,-14.442574484067142,-14.670455236635648,-12.126580262626662,-8.537500237943663,FA,-8.537500237943663,-12.444277555318278,,,,,,,,,,,,111.0,83.10412145543981,109.53,0.00900901,0.24324324,0.2565456640963651,0.262
Freddy Tarnok,,MIA,RP/,-8.555915427410122,,-12.000789853434462,,FA,-8.555915427410122,-10.278352640422291,,,,,,88.96199999999999,86.87066666666665,73.49,88.823133640553,85.94082949308755,72.41516129032259,0.0,,,,,0.0,
Codi Heuer,,TEX,RP/,-8.55630693113438,,-9.024217498683052,,FA,-8.55630693113438,-8.790262214908715,,,,,,102.754,116.07,106.628,102.754,116.07,106.628,0.0,,,,,0.0,
Tyler Phillips,,MIA,RP/,-8.5879434435904,-8.827259933967307,-13.453748417657012,-10.905226799360486,FA,-8.5879434435904,-10.443544648643801,,,,,,99.4638983050848,105.9629491525424,105.21596610169487,99.70711849957374,110.31490281329924,108.80340323955669,0.0,,,,,0.0,
Carson Palmquist,,COL,SP/,-10.28498891288522,-9.152237688924522,-8.597134300135481,-11.77608251722218,FA,-8.597134300135481,-9.95261085479185,,,,,,98.40704545454544,90.68840909090908,89.30276515151513,98.41071895967929,90.69058808865992,89.30875049336296,0.0,,,,,0.0,
Jared Triolo,,PIT,1B/2B/3B/SS/,-13.13023018035608,-12.539989713618008,-13.27618964820985,-8.636937505266578,FA,-8.636937505266578,-11.895836761862629,"2B, 3B",592.0,,,,,,,,,,94.0,90.09983723958334,106.184,0.05319149,0.38297872,0.2571588821411132,0.322
Johan Oviedo,,PIT,RP/,-9.097517343600272,-8.6817910290449,-9.327965043547405,,FA,-8.6817910290449,-9.035757805397525,,,,,,,,,,,,,,,,,,
Kyle Nicolas,,PIT,RP/,-8.697860556930529,,-10.068210662565331,,FA,-8.697860556930529,-9.38303560974793,,,,,,105.47257142857144,79.72685714285716,85.90783673469384,102.46275862068966,90.85586206896552,97.70551724137933,0.0,,,,,0.0,
Heriberto Hernandez,,MIA,OF/DH/,-17.014970178896274,-16.42545597760239,-15.131122713635524,-8.716958749999817,FA,-8.716958749999817,-14.3221269050335,,,,,,,,,,,,28.0,90.07502964564732,105.861,0.07142857,0.42857143,0.3889778256416321,0.405
Juan Mejia,,COL,RP/,-11.55790377888602,-8.760449142729167,-12.00723737877757,-9.565160221723222,FA,-8.760449142729167,-10.472687630528995,,,,,,103.85947506561682,92.81259842519684,94.44509186351708,103.0536270920502,94.44725941422593,95.55823744769874,0.0,,,,,0.0,
Hunter Bigge,,TBR,RP/,-9.09086297927207,,-8.780443834276296,,FA,-8.780443834276296,-8.935653406774183,,,,,,96.90748898678414,104.72889867841404,103.8216740088106,,,,0.0,,,,,0.0,
Sam Moll,,CIN,RP/,-8.788686752094788,,-10.296776289451705,,FA,-8.788686752094788,-9.542731520773247,,,,,,90.40862745098042,73.41607843137255,64.10941176470588,,,,0.0,,,,,0.0,
Jeff Brigham,,ARI,RP/,-8.813393949981126,,-9.145536543044274,,FA,-8.813393949981126,-8.9794652465127,,,,,,100.09555555555556,87.23396825396824,84.17777777777779,100.09555555555556,87.23396825396826,84.17777777777779,0.0,,,,,0.0,
Troy Taylor,,SEA,RP/,-8.825098278126822,,,,FA,-8.825098278126822,-8.825098278126822,,,,,,102.82179104477612,101.73671641791044,102.43283582089552,102.73525423728812,90.84271186440678,93.77084745762711,0.0,,,,,0.0,
John McMillon,,PHI,RP/,-8.925857507959963,,-9.5150932438505,,FA,-8.925857507959963,-9.220475375905231,,,,,,,,,,,,,,,,,,
Mason Thompson,,WSN,RP/,-8.93960616653425,,-9.202973981692748,,FA,-8.93960616653425,-9.071290074113499,,,,,,,,,,,,,,,,,,
Eduardo Salazar,,WSN,RP/,-10.18840408246686,-8.94262458852363,-13.581007272601456,-23.70015322795162,FA,-8.94262458852363,-14.10304729288589,,,,,,94.13394495412844,94.01816513761467,88.59926605504587,95.52028985507246,85.4163768115942,82.60985507246377,0.0,,,,,0.0,
Jason Heyward,,SDP,OF/,-13.031788517951876,-13.388085618745276,-12.972705332869904,-8.962326850275552,FA,-8.962326850275552,-12.088726579960651,,,,,,,,,,,,69.0,85.11954991957721,108.922,0.04347826,0.33333333,0.2192985117435455,0.25
Sam Hilliard,,COL,OF/,-15.358631002792425,-15.361112334013704,-12.4000580584675,-8.967373765416038,FA,-8.967373765416038,-13.021793790172417,,,,,,,,,,,,22.0,95.29291326349431,110.277,0.22727273,0.63636364,0.3924705400023349,0.385
Anthony Veneziano,,MIA,RP/,-8.99439713914485,,-11.8566378350599,-13.486867819832714,FA,-8.99439713914485,-11.445967598012487,,,,,,99.7507118586824,104.48218354873715,104.6188412796857,102.86816844919784,105.5536586452763,104.2894385026738,0.0,,,,,0.0,
