player_name,team,position,steamerr,rthebatx,roopsydc,season,last30,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+,Events,EV,maxEV,Barrel%,HardHit%,wOBA,xwOBA
Paul Sewald,CLE,RP/,-6.01751947860523,,-6.35076200088144,,,FA,-6.01751947860523,-6.184140739743335,,,114.65386243386244,102.43227513227514,113.32211640211641,,,,0.0,,,,,0.0,
Tyler Wade,SDP,2B/3B/OF/,-23.014474760842095,-20.797142137197863,-17.444139831576244,-9.370724927476562,-6.090443434055978,FA,-6.090443434055978,-15.34338501822975,,,29.60111111111111,84.48111111111112,16.822222222222223,,,,74.0,82.77789121685606,100.487,0.0,0.13513514,0.2762392406878264,0.244
Grant Anderson,MIL,RP/,-7.537213470998196,,-6.98233196150088,-6.1500908431977965,-9.909097631494149,FA,-6.1500908431977965,-7.644683476797756,,,101.29093117408904,102.77557354925771,101.82469635627528,101.51044334975369,107.1279802955665,107.62068965517241,0.0,,,,,0.0,
Ryan Feltner,COL,SP/,-10.48260067493064,-13.72649104431376,-8.559858829811224,-6.154915335719472,,FA,-6.154915335719472,-9.730966471193774,,,88.33685823754789,95.58885057471265,85.30482758620688,,,,0.0,,,,,0.0,
Josh Simpson,MIA,RP/,-10.985259345426416,-6.190218665601393,-11.61152357552514,,-15.653226513062195,FA,-6.190218665601393,-11.110057024903787,,,101.47860465116278,100.47395348837209,103.47999999999999,101.47860465116278,100.47395348837209,103.47999999999999,0.0,,,,,0.0,
Jack Dreyer,LAD,RP/,-6.915052593824301,,-6.219047294235791,,,W <small>(Fri)</small>,-6.219047294235791,-6.567049944030046,,,97.88471327961258,98.03322207323902,96.26402736373463,100.22678178963892,95.78665620094192,95.26748822605965,0.0,,,,,0.0,
Jack Kochanowicz,LAA,SP/,-9.624788017092204,-6.291936388348849,-10.407899702199686,-10.742589565921662,-8.979869644422411,FA,-6.291936388348849,-9.209416663596963,,,94.03208427389015,92.56738901429647,87.94902934537245,93.72879652059017,90.53701882845188,85.778074763268,0.0,,,,,0.0,
John Rave,KCR,OF/,-21.79241246694194,-21.19037322810169,-17.519787782203906,-12.885865636046091,-6.354502624806062,FA,-6.354502624806062,-15.948588347619937,,,,,,,,,27.0,87.397314453125,105.723,0.07407407,0.40740741,0.23549639135599137,0.286
Carson Spiers,CIN,SP/RP/,-6.512239738910734,-6.6656725229462115,-6.391259416139135,,,FA,-6.391259416139135,-6.523057225998694,,,94.74044227642277,88.56515772357723,86.67905582655827,,,,0.0,,,,,0.0,
Anthony DeSclafani,ARI,RP/,-6.436339746896936,-7.747826897924988,-11.225345947794358,,-11.178927552982127,FA,-6.436339746896936,-9.147110036399603,,,97.54822580645163,100.38209677419351,101.23274193548387,97.54822580645161,100.38209677419356,101.23274193548386,0.0,,,,,0.0,
