player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+,Events,EV,maxEV,Barrel%,HardHit%,wOBA,xwOBA
Nick Sogard,BOS,1B/2B/3B/SS/,-26.031396519113827,-26.23639622065344,,-11.09726331770112,FA,-11.09726331770112,-21.12168535248946,,,,,,,,,40.0,88.24619750976562,107.713,0.075,0.375,0.2759754421576014,0.337
Dairon Blanco,KCR,OF/,-18.951024093609163,-18.7861464528603,-16.025572794491552,-11.15925849239388,FA,-11.15925849239388,-16.230500458338724,,,,,,,,,6.0,79.1263427734375,83.973,0.0,0.0,0.2108834981918335,0.175
Luke Williams,ATL,2B/3B/SS/OF/DH/,-22.912249068720758,-23.194825367600732,-20.45588055901124,-11.284583195486713,FA,-11.284583195486713,-19.461884547704862,,,36.2,69.54,17.88,36.2,69.54,17.88,11.0,80.04122092507102,101.269,0.0,0.09090909,0.19189352194468182,0.183
Garrett Hampson,CIN,2B/OF/,-25.468733047670508,-22.14975676627003,-20.648595030898438,-11.313128708172789,FA,-11.313128708172789,-19.89505338825294,,,,,,,,,,,,,,,
Ryan Bliss,SEA,2B/,-27.517778034100058,-24.171653505516364,-21.708514739255826,-11.45729913796351,FA,-11.45729913796351,-21.213811354208936,,,,,,,,,24.0,88.95949300130208,104.017,0.125,0.33333333,0.2706013046778165,0.316
Rece Hinds,CIN,OF/,-24.569069512667724,-23.534842872886806,-20.428165448368407,-11.469250330221572,FA,-11.469250330221572,-20.000332041036128,,,,,,,,,9.0,91.85063340928819,109.754,0.33333333,0.55555556,0.3052549123764038,0.353
Matt Vierling,DET,3B/OF/,-11.751779836022767,-11.484814952376572,-12.061552558521866,-13.731641351875659,TWN,-11.484814952376572,-12.257447174699216,,,,,,,,,10.0,92.07462158203126,99.9873,0.2,0.3,0.16149929436770352,0.251
Matt Gorski,PIT,1B/OF/,-25.188169913655408,-24.12317813431637,-21.666652377337297,-11.503135582568603,FA,-11.503135582568603,-20.62028400196942,,,,,,,,,25.0,85.251435546875,115.198,0.12,0.32,0.2591828150408609,0.254
Jared Young,NYM,OF/DH/,-20.99004120390733,-20.546979831017108,-16.87715228822836,-11.618825146802033,FA,-11.618825146802033,-17.50824961748871,,,53.158181818181816,74.04909090909092,41.81818181818182,53.158181818181816,74.04909090909092,41.81818181818182,17.0,81.79156853170956,107.146,0.11764706,0.29411765,0.280387818813324,0.263
Dustin Harris,TEX,OF/DH/,-23.91418029069018,-22.987927958043723,-20.51071380641305,-11.619234070849403,FA,-11.619234070849403,-19.75801403149909,,,,,,,,,24.0,86.46956380208333,106.414,0.04166667,0.25,0.2693966125187121,0.264
Brayan Rocchio,CLE,SS/,-13.610264835132122,-15.118365438570766,-14.022822887452406,-11.635596415131866,FA,-11.635596415131866,-13.59676239407179,,,,,,,,,72.0,86.35431780133929,103.389,0.02777778,0.30555556,0.2041318790585387,0.278
Seth Brown,ATH,1B/OF/,-21.23698932728492,-20.56179250631797,-17.2207487659322,-11.65873356466459,FA,-11.65873356466459,-17.66956604104992,,,,,,,,,42.0,87.17519996279762,111.936,0.0952381,0.4047619,0.26695552860435684,0.301
