name,drafted,fantasypros_rk,fantasypros_rk_top10,nffc_adp,primetime_adp,fantasypros_tier,fantasypros_pos_rank,Note
quinshon judkins,,143,138.0,123.08,127.03,9,RB47,
jerome ford,,144,145.0,143.92,142.55,9,RB48,
geno smith,,145,135.0,210.9,233.86,9,QB24,
keenan allen,,146,131.0,127.79,122.1,9,WR59,
hunter henry,,147,142.0,168.87,184.76,9,TE16,
bhayshul tuten,,148,144.0,127.66,114.0,9,RB49,
kyle pitts,,149,146.0,140.18,142.24,9,TE17, MB hate
jaydon blue,,150,132.0,129.23,118.76,9,RB50,
wan'dale robinson,,151,148.0,152.9,147.34,9,WR60,
jayden higgins,,152,134.0,123.91,114.21,9,WR61,
joe mixon,,153,166.0,155.11,151.28,9,RB51, MB hate. hurt foot
matthew stafford,,154,171.0,208.52,230.79,9,QB25,
tyler allgeier,,155,151.0,152.1,141.14,9,RB52,
romeo doubs,,156,162.0,159.84,161.38,9,WR62,
tyjae spears,,157,147.0,161.67,159.21,9,RB53,
demario douglas,,158,143.0,150.33,143.1,9,WR63,
zach ertz,,159,163.0,173.13,190.45,9,TE18,
dylan sampson,,160,141.0,130.75,116.03,9,RB54,
marquise brown,,161,158.0,,,9,WR64,
jonnu smith,,162,167.0,191.39,212.24,9,TE19,
denver broncos,,163,161.0,143.84,153.24,10,DST1,
denver broncos,,163,161.0,143.84,220.45,10,DST1,
denver broncos,,163,161.0,219.1,153.24,10,DST1,
denver broncos,,163,161.0,219.1,220.45,10,DST1,
cam ward,,164,164.0,198.18,223.0,10,QB26,
xavier legette,,165,160.0,149.84,150.76,10,WR65,
rico dowdle,,166,168.0,165.14,159.97,10,RB55,
adam thielen,,167,174.0,161.68,167.66,10,WR66,
joshua palmer,,168,150.0,152.99,147.83,10,WR67,
philadelphia eagles,,169,172.0,171.66,176.83,10,DST2,
philadelphia eagles,,169,172.0,171.66,227.21,10,DST2,
philadelphia eagles,,169,172.0,240.14,176.83,10,DST2,
philadelphia eagles,,169,172.0,240.14,227.21,10,DST2,
sam darnold,,170,169.0,212.17,236.86,10,QB27, MB hate list
brenton strange,,171,179.0,175.05,174.34,10,TE20,
kyle williams,,172,201.0,184.84,175.66,10,WR68,
pittsburgh steelers,,173,170.0,176.74,188.66,10,DST3,
pittsburgh steelers,,173,170.0,176.74,224.62,10,DST3,
pittsburgh steelers,,173,170.0,215.85,188.66,10,DST3,
pittsburgh steelers,,173,170.0,215.85,224.62,10,DST3,
chig okonkwo,,174,153.0,188.57,194.69,10,TE21,
ollie gordon,,175,165.0,129.14,116.59,10,RB56, dolphins backup RB... everyone else is hurt. love for keeper/late
tre' harris,,176,213.0,180.93,169.17,10,WR69,
baltimore ravens,,177,173.0,178.86,186.76,10,DST4,
baltimore ravens,,177,173.0,178.86,235.34,10,DST4,
baltimore ravens,,177,173.0,237.9,186.76,10,DST4,
baltimore ravens,,177,173.0,237.9,235.34,10,DST4,
quentin johnston,,178,177.0,186.8,194.31,10,WR70,
jalen coker,,179,210.0,226.23,201.1,10,WR71,
minnesota vikings,,180,176.0,188.07,192.45,10,DST5,
minnesota vikings,,180,176.0,188.07,232.59,10,DST5,
minnesota vikings,,180,176.0,231.7,192.45,10,DST5,
minnesota vikings,,180,176.0,231.7,232.59,10,DST5,
houston texans,,181,175.0,192.42,204.1,10,DST6,
houston texans,,181,175.0,192.42,228.83,10,DST6,
houston texans,,181,175.0,221.03,204.1,10,DST6,
houston texans,,181,175.0,221.03,228.83,10,DST6,
brandon aubrey,,182,181.0,,,10,K1,
deandre hopkins,,183,212.0,221.46,231.62,10,WR72,
buffalo bills,,184,180.0,196.37,207.83,10,DST7,
buffalo bills,,184,180.0,196.37,238.14,10,DST7,
buffalo bills,,184,180.0,247.07,207.83,10,DST7,
buffalo bills,,184,180.0,247.07,238.14,10,DST7,
woody marks,,185,187.0,161.62,155.1,10,RB57,
blake corum,,186,182.0,177.39,163.9,10,RB58,
kansas city chiefs,,187,215.0,215.39,209.62,10,DST8,
kansas city chiefs,,187,215.0,215.39,214.72,10,DST8,
kansas city chiefs,,187,215.0,221.49,209.62,10,DST8,
kansas city chiefs,,187,215.0,221.49,214.72,10,DST8,
aaron rodgers,,188,207.0,223.05,240.86,10,QB28,
cameron dicker,,189,184.0,,,10,K2,
detroit lions,,190,191.0,208.31,214.52,10,DST9,
detroit lions,,190,191.0,208.31,229.41,10,DST9,
detroit lions,,190,191.0,222.02,214.52,10,DST9,
detroit lions,,190,191.0,222.02,229.41,10,DST9,
mike gesicki,,191,183.0,222.79,229.14,11,TE22,
jake bates,,192,190.0,,,11,K3,
seattle seahawks,,193,192.0,224.87,230.0,11,DST10,
seattle seahawks,,193,192.0,252.15,230.0,11,DST10,
roschon johnson,,194,269.0,206.45,191.24,11,RB59,
green bay packers,,195,188.0,191.92,196.69,11,DST11,
green bay packers,,195,188.0,191.92,240.45,11,DST11,
green bay packers,,195,188.0,249.96,196.69,11,DST11,
green bay packers,,195,188.0,249.96,240.45,11,DST11,
cade otton,,196,218.0,224.73,236.86,11,TE23,
