player_name,team,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+
Logan Gilbert,SEA,96.4361196606491,106.41249284798265,101.11673473414226
Patrick Corbin,TEX,96.45405878675251,101.38705069705428,97.41582263975627
Andrew Kittredge,CHC,107.0309677419355,117.47322580645161,120.69787390029327
Trey Yesavage,TOR,105.52225941422594,92.90803347280335,98.90083682008368
Hunter Gaddis,CLE,95.5463473053892,113.19532934131738,108.41137724550896
Tyler Gilbert,CHW,103.27634146341464,92.38731707317073,89.95329268292681
Garrett Crochet,BOS,119.51585616292445,102.16527800264156,116.59028290230498
Kyle Leahy,STL,103.95295546558704,101.73983805668017,108.54842105263158
Brandon Pfaadt,ARI,97.78385321100916,108.82633027522935,106.00605504587156
Mick Abel,MIN,107.53250000000001,99.97222222222223,105.42041666666665
Adrian Houser,TBR,91.73294870593247,110.93427730322718,101.40049743316648
Tarik Skubal,DET,116.28989403678052,102.02483599541807,116.91153231142043
J.T. Ginn,ATH,92.86767805954845,102.22172057100411,99.84735562739313
Trevor McDonald,SFG,94.95893091808523,110.08107313734487,107.02923145124292
Emerson Hancock,SEA,99.86802259887006,104.41689597873047,101.48708541043536
Jack Flaherty,DET,96.32618151415556,105.5033056852909,103.77617383094042
Dean Kremer,BAL,92.69413271604938,106.79135802469136,96.944387345679
Clayton Beeter,WSN,110.26497297297297,87.87210810810811,97.57545945945945
Gavin Williams,CLE,101.45718670076727,95.26409207161126,98.4242455242967
Ronny Henriquez,MIA,110.28882681564247,103.90268156424582,114.75474860335194
Kody Funderburk,MIN,107.73824884792629,102.75520737327187,108.65447004608295
Luis Severino,ATH,115.5144661776691,96.41252214072264,108.52804944308613
Carmen Mlodzinski,PIT,110.95043747024059,95.28675630372467,109.85339920457277
Ian Seymour,TBR,92.4355144766147,95.71697210973882,87.45531944725651
Cole Ragans,KCR,114.66902912621359,100.57728155339807,111.05718446601941
Hunter Brown,HOU,101.94795,90.6956,92.97385
Kai-Wei Teng,SFG,92.10831885539089,98.13709759836485,90.42235564639756
Shawn Armstrong,TEX,103.93853658536584,95.41521951219514,97.53219512195123
Ranger Suárez,PHI,95.87811818856038,116.21056800724305,109.26000465934976
Parker Messick,CLE,95.1648809921032,104.95846012679347,100.7214864864865
Matt Strahm,PHI,106.87065309584395,97.05521628498727,102.33002544529262
Brooks Raley,NYM,120.24951724137931,96.42579310344827,111.66868965517241
José Suarez,ATL,100.17023255813953,103.34069767441862,107.28790697674418
Aroldis Chapman,BOS,104.54320637119113,118.94556786703599,118.19644044321328
Andrés Muñoz,SEA,111.18225899280574,91.95341007194246,98.05198561151079
Taylor Rashi,ARI,76.8545525291829,110.40817120622569,91.22007782101169
Freddy Peralta,MIL,103.0444044304277,120.19728917111792,122.74184879910597
Jacob Webb,TEX,92.28662251655628,111.02768211920528,105.58887417218543
Kyle Harrison,BOS,97.72400000000002,99.7728,94.7836
Kenley Jansen,LAA,116.46244897959184,102.59469387755101,110.26081632653063
Graham Ashcraft,CIN,117.45153846153845,113.23096153846156,130.05934615384615
Spencer Strider,ATL,94.19040685224837,90.26608137044967,86.64436830835118
Ryan Bergert,KCR,95.45141618863049,92.75347418604652,91.30588653746769
Walker Buehler,PHI,96.42330357142858,90.21187499999999,86.86491071428573
Michael Wacha,KCR,93.83964967847201,98.58460623992639,94.09413556466798
Justin Verlander,SFG,103.89844388036641,93.67253595246729,93.79233760295863
Devin Williams,NYY,117.754372909699,111.72664715719064,130.41667224080268
Abner Uribe,MIL,112.2693359453486,94.98793952180027,105.47466847498494
Tyler Ferguson,ATH,110.2208588957055,90.32797546012272,96.92453987730062
Tyler Wells,BAL,96.10740364167994,103.89603601807549,94.04439460393407
JT Brubaker,SFG,96.66276777251184,102.66,95.32510494245092
JoJo Romero,STL,110.17075268817203,100.44935483870968,107.26612903225806
