player_name,team,Stuff+,Location+,Pitching+
Reese Olson,DET,94.91567474048439,100.54629757785466,97.08423875432527
Chase Burns,CIN,114.5617385837696,105.99225276666775,120.59933682350776
Eric Lauer,TOR,92.30164774877419,103.44872253993294,90.6758658316111
Zebby Matthews,MIN,105.99555390334572,103.45458736059484,108.27666914498143
Devin Williams,NYY,114.37765976597659,101.05980198019803,116.5505130513052
Shawn Armstrong,TEX,105.32596747192899,94.83127154418801,98.14419199264839
Ronny Henriquez,MIA,110.04683937823829,95.95651122625216,106.5647841105354
Mike Burrows,PIT,95.43408308453658,100.88290548719691,98.43337851463428
Cam Schlittler,NYY,114.08174442190669,97.22762677484788,109.38361054766742
Tyler Rogers,- - -,127.89364646887498,105.31713803514322,122.02607685533602
José Berríos,TOR,88.66995636381367,101.8443690274493,92.62797493966508
Brad Keller,CHC,106.08077839945926,91.48149360145987,95.95890601090157
Clarke Schmidt,NYY,100.98815873015876,102.72976190476194,103.66598412698416
Davis Martin,CHW,96.62936225502035,95.97863296254397,93.86233334897359
Ben Casparius,LAD,116.15302291917376,103.1219251483762,115.46957643525809
Eduardo Rodriguez,ARI,91.03907608695648,98.81809782608693,91.06093167701863
Tyler Alexander,- - -,100.1869549127892,103.71933210862053,100.71491962452735
Brendon Little,TOR,117.16636363636364,81.7010876623377,104.0148214285714
Jacob Latz,TEX,102.68437036480314,101.74072089367218,105.75972075646193
Jimmy Herget,COL,93.45425665101722,98.05467918622851,90.79405320813771
Brad Lord,WSN,86.48385184944351,101.85234382292558,87.00748494066164
Jacob Lopez,ATH,93.08814843332134,101.41498319134676,92.83388160410236
Jason Adam,SDP,103.6286031452358,94.23842738205364,99.44460684551343
Louis Varland,- - -,111.01657359816049,102.01117798247967,115.2105578329815
Aaron Ashby,MIL,122.75128138886625,102.69909726028999,121.27762575957266
Michael Lorenzen,KCR,92.14410243463252,101.18040579960233,93.60356557001913
Jacob Misiorowski,MIL,118.5782322728121,104.17162908191828,128.82710813584626
Kyle Finnegan,- - -,104.75820500106735,104.32090649799767,107.30221034660941
Reid Detmers,LAA,112.42230055658625,111.6150834879407,122.01675324675323
Nolan McLean,NYM,117.02292286874157,95.39242219215156,112.62936400541273
Hurston Waldrep,ATL,103.24087047574764,100.55037651582853,106.95140762370136
Trevor Williams,WSN,94.57539100346021,104.16596539792383,99.54166089965399
Dennis Santana,PIT,97.07382323733864,99.16953326713008,94.58395233366437
Bailey Ober,MIN,93.91803404255322,102.49228085106388,96.86509787234043
Simeon Woods Richardson,MIN,87.88855584874409,97.68442819631349,87.53622411123996
Joey Wentz,- - -,88.1891342341487,104.85047972908697,92.8468246855166
Kyle Bradish,BAL,94.77520325203251,110.99796747967481,105.06573170731708
Landen Roupp,SFG,97.11380021715532,105.96649294245385,101.86478827361562
Caleb Thielbar,CHC,110.77430952380953,101.62978571428563,109.1545714285714
Steven Matz,- - -,102.54571035867609,111.13628901814154,109.28949903060519
Connelly Early,BOS,97.7082608695652,107.96310559006211,107.34055900621121
Jameson Taillon,CHC,94.27137195121952,109.01905487804876,101.00930894308944
Josh Hader,HOU,118.22126190476189,100.27926190476195,114.08085714285714
Michael Soroka,- - -,94.8075236301849,96.79888738072766,89.91097931596266
Emmanuel Clase,CLE,121.8306702412869,101.96906166219841,122.18214477211795
Carlos Estévez,KCR,98.5541074856046,98.6846641074856,97.16554702495199
Bennett Sousa,HOU,107.1163157894737,99.49052631578944,104.13886426592796
Ian Seymour,TBR,93.61343117457481,98.78287333362118,93.20045907428707
Ben Brown,CHC,98.8159933216455,98.46200403927524,96.8407837902791
Zac Gallen,ARI,92.82959360000001,104.98700799999997,100.57523840000002
Tony Santillan,CIN,97.09495652173908,99.76744664031614,93.75144664031629
Jeremiah Estrada,SDP,107.9727804878049,115.69248780487806,122.7101138211383
Emilio Pagán,CIN,112.1090498588899,96.7818250235183,105.26809031044215
Justin Wilson,BOS,105.209068627451,96.84664215686277,101.62892156862749
Ryan Bergert,- - -,90.81351179835619,103.7173618026736,98.0338771990635
Raisel Iglesias,ATL,96.63370716510904,104.42245067497404,100.3782139148494
Matt Svanson,STL,110.00409937888199,99.76569358178054,105.56511387163563
Parker Messick,CLE,95.70253205128206,108.86298076923077,105.83641025641025
Alex Vesia,LAD,118.95879921259844,95.63998031496068,111.33023622047233
Pete Fairbanks,TBR,111.25562563580883,104.3309257375381,111.80315361139381
Hoby Milner,TEX,106.39509106678226,105.22477016478753,106.45731136166525
Hunter Dobbins,BOS,97.8180965297963,104.58482029864531,103.53799993703892
Daniel Palencia,CHC,116.33480186480193,95.09144522144514,110.89622377622379
Bubba Chandler,PIT,108.53614888451537,104.25139388889687,115.304384651851
Griffin Canning,NYM,91.68813710879286,98.22801788375554,92.29098360655736
Aaron Nola,PHI,105.35953934740887,104.29740243122201,108.00724248240563
Luis Ortiz,CLE,99.89922563417888,95.63799732977303,95.13619492656878
Tyler Kinley,- - -,106.41895555346565,99.74995090755196,105.15939012508228
Spencer Strider,ATL,96.49300427147602,92.97850972947319,90.05207403891787
Justin Topa,MIN,97.62674951281669,110.83448313596156,104.40475448101589
Aaron Civale,- - -,98.21383473414498,89.2730229311996,87.93432996813523
Michael McGreevy,STL,90.28396492063894,110.46641072956874,103.84786456194793
Jared Koenig,MIL,105.07782483156879,99.53343599615012,102.22750721847939
Shota Imanaga,CHC,94.30027409776146,107.75296482412057,101.1772864321608
JoJo Romero,STL,105.82390243902438,100.52916666666665,106.87973577235765
Bryce Elder,ATL,90.25338922155692,107.71736526946108,100.30653892215567
Grant Holmes,ATL,90.67867399479678,99.42675689591911,92.3608798915581
Mitchell Parker,WSN,91.39065295377601,102.64437033221154,93.67152676151649
Seranthony Domínguez,- - -,113.78617718062164,83.8955652099021,99.37293831638678
Edwin Uceta,TBR,96.10337763878033,105.29996872556686,99.71274433150893
Lucas Erceg,KCR,102.15384773662547,102.16771604938269,104.35866255144037
Cristian Javier,HOU,94.8238897893031,94.60596434359802,90.87251215559158
Jose Quintana,MIL,85.43132162661742,104.19952865064697,91.06548059149725
Hunter Gaddis,CLE,94.6887631831256,103.34636625119852,98.50366251198466
Michael King,SDP,98.7880459770115,101.68303776683086,101.56986863711003
Martín Pérez,CHW,80.83917545440093,100.95906377510465,86.00578411318955
Ryan Gusto,- - -,100.43727896376313,100.45458376983646,100.19888237971898
Brandon Walter,HOU,96.717881773399,107.84618226600985,101.81583743842367
Andrew Kittredge,- - -,101.19154806737566,108.22480783692536,110.92378791663127
Logan Henderson,MIL,93.15230769230769,110.39533653846158,100.32403846153845
Braydon Fisher,TOR,105.71265815538729,100.19054494784022,105.49568937596501
Matt Festa,CLE,100.46332922318123,95.20631319358813,94.95800246609122
Randy Vásquez,SDP,96.75014245138443,101.40909485669955,96.71533903181967
Caleb Ferguson,- - -,107.77835172766424,99.84912808256118,105.46248500000902
Dustin May,- - -,100.83237546778835,96.44190034948817,97.31696829864228
Cole Sands,MIN,97.02887028785169,104.90907173524148,100.5047484794275
Tanner Banks,PHI,110.78895789052392,105.65160014796535,112.12791528075513
Fernando Cruz,NYY,102.5238227848101,84.81022784810129,91.255493670886
Reed Garrett,NYM,113.87357404035464,96.075846059168,112.11355771406568
Matt Brash,SEA,111.59723593287265,84.96189536031585,99.81587364264568
Brooks Raley,NYM,117.58744186046502,95.06583979328167,108.70770025839795
