Rank,Player,May,Apr,Mar,Feb,MLBAM id,Team,LG,Proj STM$,Proj IP,Health,26 K-BB,ppERA,ppK%,ppWHIP,Stuff+,Location+,Pitching+,26 ERA,26 SIERA
81,Shane Drohan,,,,,675660,MIL,NL,,89,#N/A,18.64%,3.82,24.30%,1.28,100,109,108,3.59,3.33
82,Spencer Arrighetti,90,87,##,##,681293,HOU,AL,-0.9,148,78%,10.41%,4.25,23.20%,1.35,99,92,94,2.57,4.57
83,Robert Gasser,,,##,##,688107,MIL,NL,1.4,69,66%,12.15%,3.9,23.50%,1.23,104,85,85,4.88,4.64
84,Zebby Matthews,85,,##,##,805673,MIN,AL,5.1,105,77%,14.04%,4.17,21.50%,1.24,95,100,94,4.78,4.19
85,Brandon Sproat,83,78,##,##,687075,MIL,NL,-0.8,129,75%,11.23%,4.09,21.50%,1.33,99,95,93,5.94,4.41
86,Michael Wacha,88,85,##,##,608379,KCR,AL,-0.1,172,79%,11.52%,4.71,18.20%,1.33,97,102,99,3.64,4.43
87,Robbie Ray,45,38,49,50,592662,SFG,NL,2.1,171,71%,10.68%,4.41,23.00%,1.33,97,93,90,4.07,4.64
88,Joey Cantillo,59,45,65,65,676282,CLE,AL,1,147,88%,9.94%,4.11,22.90%,1.33,98,93,91,4.38,4.62
89,Trevor Rogers,66,27,32,60,669432,BAL,AL,0.6,153,84%,8.97%,4.42,19.40%,1.31,101,100,98,5.86,4.81
90,Trevor McDonald,93,,##,##,686790,SFG,NL,-1,99,78%,14.05%,4.21,19.40%,1.38,99,103,103,4.64,3.58
91,Troy Melton,,,##,##,675512,DET,AL,1,65,76%,7.84%,4.36,20.70%,1.29,97,95,96,2.81,4.82
92,Justin Wrobleski,##,##,##,##,680736,LAD,NL,-1.6,152,#N/A,10.76%,4.42,19.40%,1.29,95,111,103,2.72,4.52
93,Walbert Urena,##,,,,700712,LAA,AL,-12,139,,8.46%,4.7,18.10%,1.5,100,103,106,2.6,4.68
94,Michael McGreevy,##,##,##,##,700241,STL,NL,3.2,174,87%,10.32%,4.68,15.70%,1.33,81,110,94,2.99,4.46
95,JT Ginn,##,##,##,##,669372,ATH,AL,1.2,159,81%,11.39%,4.34,20.80%,1.36,93,102,99,2.91,4.29
96,Nick Martinez,84,86,##,##,607259,TBR,AL,-2.1,172,89%,10.59%,4.2,18.30%,1.25,99,105,104,2.6,4.65
97,David Peterson,##,90,92,95,656849,NYM,NL,2.4,109,88%,10.03%,4,20.00%,1.35,89,99,92,5.91,4.15
98,Kodai Senga,,,,,673540,NYM,NL,,,61%,9.65%,4.14,22.70%,1.33,96,94,96,9,4.89
99,Andre Pallante,##,##,##,##,669467,STL,NL,-2.7,149,92%,11.49%,4.26,18.10%,1.41,97,103,101,3.76,4.16
100,Matthew Liberatore,##,81,81,82,669461,STL,NL,0.4,164,90%,12.38%,4.34,20.40%,1.32,98,101,97,4.71,4.31
101,Slade Cecconi,##,75,98,##,677944,CLE,AL,0.6,156,86%,11.83%,4.28,19.70%,1.26,93,102,91,4.6,4.25
102,Peter Lambert,,,,,663567,HOU,AL,,0,,12.60%,4.37,20.90%,1.34,90,98,89,2.76,3.92
103,Seth Lugo,96,94,##,##,607625,KCR,AL,-0.8,167,82%,12.28%,4.86,18.50%,1.38,88,107,96,3.86,4.36
104,Andrew Abbott,98,##,80,##,671096,CIN,NL,-2.6,166,90%,6.41%,4.8,20.10%,1.31,95,101,96,3.95,5.07
105,Kyle Leahy,##,##,##,,681517,STL,AL,-2.3,148,,10.48%,4.45,18.90%,1.36,89,105,98,4.63,4.39
106,Stephen Kolek,##,,##,##,663568,KCR,AL,-2.9,131,80%,12.12%,4.58,16.40%,1.4,92,108,102,2.68,4.14
107,Grant Holmes,94,89,##,##,656550,ATL,NL,2.1,141,78%,9.67%,4.36,22.30%,1.35,89,99,90,4.33,4.64
108,Randy Vasquez,76,83,##,##,681190,SDP,NL,-7.4,165,90%,11.50%,4.53,17.90%,1.34,98,102,97,3.63,4.54
109,Eduardo Rodriguez,##,##,##,##,593958,ARI,NL,-1.4,137,73%,8.26%,4.8,19.00%,1.39,90,107,101,2.45,4.78
110,Mitch Keller,71,80,91,91,656605,PIT,NL,0.6,172,93%,9.63%,4.3,19.90%,1.33,93,102,95,5.25,4.57
111,Mike Burrows,91,93,72,74,681347,HOU,AL,-1.7,153,81%,10.00%,4.57,21.00%,1.31,93,98,93,5.86,4.62
112,Zac Gallen,89,63,76,96,668678,ARI,NL,0.3,181,90%,8.01%,4.5,19.80%,1.33,87,111,101,5.35,4.73
113,Kumar Rocker,##,92,##,##,677958,TEX,AL,1.7,138,75%,8.61%,4.23,20.40%,1.32,91,98,92,4.17,4.62
114,JR Ritchie,##,,##,,702275,ATL,NL,-4.4,94,,5.84%,4.79,19.10%,1.36,94,98,98,4.54,5.03
115,Anthony Kay,##,88,##,##,641743,CHW,AL,-1.6,131,#N/A,8.39%,4.22,20.10%,1.35,104,101,105,4.61,4.67
116,Luinder Avila,,,,,679883,KCR,AL,,0,,11.29%,4.7,18.80%,1.47,103,94,102,6.08,3.98
117,Walker Buehler,,,##,##,621111,SDP,NL,-3.5,133,70%,12.54%,4.46,19.00%,1.4,96,100,97,4.14,4.05
118,Merrill Kelly,##,##,##,##,518876,ARI,NL,-1.1,151,79%,4.53%,4.84,18.10%,1.35,87,101,94,5.81,5.37
119,Tyler Phillips,,,,,663969,MIA,NL,,,,7.89%,4.45,18.20%,1.39,97,98,97,3.1,4.57
120,Brady Singer,##,82,##,##,663903,CIN,NL,-1.4,168,94%,9.54%,4.61,20.00%,1.33,91,97,89,5.32,4.62
121,Griffin Canning,##,,,,656288,SDP,NL,-0.6,111,74%,8.74%,4.45,20.40%,1.37,90,90,87,6.64,4.69
122,Tatsuya Imai,##,,55,35,837227,HOU,AL,-1,131,84%,8.28%,4.56,21.50%,1.54,87,99,88,6.43,4.82
123,Javier Assad,##,##,,,665871,CHC,NL,-2.9,81,78%,9.30%,4.45,18.40%,1.36,97,105,104,3.89,4.5
124,Martin Perez,,,,,527048,ATL,NL,-2.3,130,64%,12.24%,4.86,17.90%,1.4,88,102,93,2.9,4.15
125,Jeffrey Springs,##,##,##,##,605488,ATH,AL,-2.7,157,73%,13.24%,4.84,19.60%,1.32,97,102,98,5.13,4.29
,Colin Rea,##,##,,,607067,CHC,NL,-3.8,141,81%,8.54%,4.54,18.50%,1.31,94,98,93,5.35,4.65
,Keider Montero,,,##,##,672456,DET,AL,-1.4,81,87%,11.19%,4.61,18.80%,1.33,94,102,94,3.67,4.69
,Miles Mikolas,,,,,571945,WSN,NL,-5.6,0,82%,8.77%,5.01,15.60%,1.34,90,111,99,5.29,4.44
,Brandon Young,,,,,687064,BAL,AL,-2.1,105,78%,7.92%,4.44,20.00%,1.32,96,104,100,3.18,4.86
,Ryan Gusto,,,,,687473,MIA,NL,-3.7,75,79%,7.58%,4.46,19.50%,1.36,96,102,98,7.24,4.73
