Name,taken,Team,Pos,Age,ETA,Draft,Highest Level,Fangraphs,Baseball Prospectus,ESPN,MLB Pipeline,The Athletic,Oopsy,avg,top_projection,num_places_ranked
Felnin Celesten,X,SEA,SS,20.4,,2023 FA,A,86.0,,105.0,,77.0,,89.33333333333333,77.0,3
Juan Valera,,BOS,P,19.8,,2023 FA,A+,,,90.0,,,,90.0,90.0,1
Bishop Letson,,MIL,P,21.4,,2023 #332,AA,,,91.0,,,,91.0,91.0,1
Michael Forret,,TB,P,21.9,,2023 #421,AA,92.0,,,,,,92.0,92.0,1
Caden Scarborough,,TEX,P,20.9,,2023 #171,A+,71.0,,99.0,,106.0,,92.0,71.0,3
Johnny King,,TOR,P,19.6,,2024 #95,A,,85.0,85.0,,106.0,85.0,92.0,85.0,3
Kendry Chourio,,KC,P,18.4,,2025 FA,A,,,124.0,,61.0,,92.5,61.0,2
Jimmy Crooks,,STL,C,24.6,,2022 #127,MLB,93.0,,,,,,93.0,93.0,1
Seaver King,,WAS,SS,22.8,,2024 #10,AA,,,,,94.0,,94.0,94.0,1
Charlee Soto,,MIN,P,20.5,,2023 #34,A+,,,94.0,,,,94.0,94.0,1
Blake Mitchell,,KC,C,21.5,2027.0,2023 #8,A+,106.0,,143.0,75.0,56.0,,95.0,56.0,4
Ty Johnson,,TB,P,24.4,,2023 #446,AA,,95.0,,,,67.0,95.0,95.0,1
Alex Freeland,X,LAD,SS,24.5,,2022 #105,MLB,,,103.0,,87.0,98.0,95.0,87.0,2
River Ryan,X,LAD,P,27.5,,2021 #340,MLB,107.0,,125.0,,55.0,,95.66666666666667,55.0,3
Hunter Barco,,PIT,P,25.2,2026.0,2022 #44,MLB,,,,96.0,,,96.0,96.0,1
Will Watson,,NYM,P,23.3,,2024 #203,AA,,96.0,,,,,96.0,96.0,1
Ryan Clifford,X,NYM,1B,22.6,,2022 #343,AAA,,86.0,106.0,,,42.0,96.0,86.0,2
Daniel Pierce,,TB,SS,19.5,,2025 #14,,,,,,96.0,,96.0,96.0,1
Max Anderson,,DET,2B,24.0,,2023 #45,AAA,,,101.0,,91.0,,96.0,91.0,2
Ethan Salas,X,SD,C,19.7,,2023 FA,AA,110.0,,110.0,,70.0,70.0,96.66666666666667,70.0,3
Jacob Reimer,,NYM,3B,22.0,,2022 #119,AA,85.0,70.0,138.0,,,87.0,97.66666666666667,70.0,3
Leonardo Bernal,,STL,C,22.0,2027.0,2021 FA,AA,,,98.0,98.0,,,98.0,98.0,2
Tommy Troy,X,ARI,SS,24.1,,2023 #12,AAA,98.0,,102.0,,,,100.0,98.0,2
George Klassen,,LAA,P,24.1,,2023 #193,AAA,57.0,,147.0,,,101.0,102.0,57.0,2
Roldy Brito,,COL,3B,18.9,,2024 FA,A,99.0,,,,106.0,57.0,102.5,99.0,2
Tanner McDougal,,CHW,P,22.9,,2021 #155,AA,104.0,,,,,,104.0,104.0,1
Wyatt Sanford,,PIT,SS,20.2,,2024 #47,A,,,104.0,,,105.0,104.0,104.0,1
Steele Hall,,CIN,SS,18.6,2029.0,2025 #9,,,,126.0,83.0,,,104.5,83.0,2
Trevor Harrison,,TB,P,20.5,,2023 #156,A+,,,,,106.0,,106.0,106.0,1
Nathan Flewelling,,TB,C,19.3,,2024 #94,A+,,,,,106.0,,106.0,106.0,1
Slade Caldwell,,ARI,OF,19.7,,2024 #29,A+,,,,,106.0,,106.0,106.0,1
Ching-Hsien Ko,,LAD,OF,19.5,,2024 FA,A,,,,,106.0,,106.0,106.0,1
Christian Oppor,,CHW,P,21.6,,2023 #152,A+,95.0,,118.0,,,,106.5,95.0,2
Jake Bloss,,TOR,P,24.7,,2023 #99,MLB,108.0,,,,,,108.0,108.0,1
Brice Matthews,,HOU,SS,23.9,,2023 #28,MLB,,,109.0,,,91.0,109.0,109.0,1
Zach Ehrhard,,LAD,OF,23.1,,2024 #115,AA,,,111.0,,,,111.0,111.0,1
Denzer Guzman,,LAA,SS,22.0,,2021 FA,MLB,,,112.0,,,,112.0,112.0,1
Elian Pena,,NYM,SS,18.3,,2025 FA,R,,,115.0,,,,115.0,115.0,1
Enrique Jr Bradfield,,BAL,OF,24.2,,2023 #17,AAA,,,135.0,,97.0,,116.0,97.0,2
Jose Corniell,,TEX,P,22.7,,2019 FA,MLB,,,116.0,,,,116.0,116.0,1
Kruz Schoolcraft,,SD,P,18.8,2029.0,2025 #25,A,,,145.0,88.0,,,116.5,88.0,2
Roc Riggio,,COL,2B,23.7,,2023 #129,AA,,,120.0,,,,120.0,120.0,1
Luke Dickerson,,WAS,SS,20.5,,2024 #44,A,,,121.0,,,,121.0,121.0,1
Winston Santos,,TEX,P,23.9,,2019 FA,AAA,103.0,,141.0,,,,122.0,103.0,2
JD Dix,,ARI,SS,20.4,,2024 #35,A,,,122.0,,,,122.0,122.0,1
Jhostynxon Garcia,X,PIT,OF,23.2,,2019 FA,MLB,,,140.0,,106.0,,123.0,106.0,2
Thayron Liranzo,X,DET,C,22.6,,2021 FA,AA,105.0,,144.0,,,,124.5,105.0,2
Jackson Ferris,,LAD,P,22.1,,2022 #47,AA,,,128.0,,,,128.0,128.0,1
Termarr Johnson,X,PIT,SS,21.7,,2022 #4,AA,,,129.0,,,,129.0,129.0,1
Gabriel Gonzalez,,MIN,OF,22.1,,2021 FA,AAA,,,130.0,,,65.0,130.0,130.0,1
James III Tibbs,,LAD,OF,23.4,,2024 #13,AA,,,131.0,,,,131.0,131.0,1
Josh Hammond,,KC,SS,19.4,,2025 #28,,,,132.0,,,,132.0,132.0,1
Devin Fitz-Gerald,,WAS,SS,20.5,,2024 #165,A,,,133.0,,,96.0,133.0,133.0,1
Demetrio Crisantes,,ARI,SS,21.5,,2022 #198,A+,,,134.0,,,64.0,134.0,134.0,1
Kayson Cunningham,,ARI,SS,19.7,,2025 #18,A,,,136.0,,,,136.0,136.0,1
Kevin Defrank,,MIA,P,17.5,,2025 FA,R,,,137.0,,,,137.0,137.0,1
Esteban Mejia,,BAL,P,19.0,,2024 FA,A,,,139.0,,,,139.0,139.0,1
Luis Hernandez,,SF,SS,17.2,,2026 FA,,,,142.0,,,,142.0,142.0,1
Xavier Isaac,X,TB,1B,22.2,,2022 #29,AA,,,146.0,,,,146.0,146.0,1
Luke Adams,,MIL,3B,21.8,,2022 #372,AA,,,148.0,,,,148.0,148.0,1
Ryan Johnson,,LAA,P,23.5,,2024 #74,MLB,,,149.0,,,,149.0,149.0,1
