Rank,Name,Team,Age,Level,Position,ETA,FV
63,Eduardo Tait,Philadelphia Phillies,18,A+,C,2027,50+
64,Cooper Pratt,Milwaukee Brewers,20,AA,SS,2026,50+
65,Joseph Parker,Toronto Blue Jays,18,CPX,SS,2028,50+
66,Brody Hopkins,Tampa Bay Rays,23,AA,RHP,2027,50+
67,Charlie Condon,Colorado Rockies,22,AA,OF,2026,50+
68,Ethan Salas,San Diego Padres,19,AA,C,2027,50+
69,Eduardo Quintero,Los Angeles Dodgers,19,A+,OF,2028,50
70,Mike Sirota,Los Angeles Dodgers,22,A+,OF,2027,50
71,Trey Yesavage,Toronto Blue Jays,22,AA,RHP,2026,50+
72,Robby Snelling,Miami Marlins,21,AAA,LHP,2026,50
73,Demetrio Crisantes,Arizona Diamondbacks,20,A+,2B,2027,50+
74,Luis Morales,Athletics,22,AAA,RHP,2026,50+
75,Charlee Soto,Minnesota Twins,19,A+,RHP,2027,50+
76,Alfredo Duno,Cincinnati Reds,19,A,C,2027,50+
77,Braden Montgomery,Chicago White Sox,22,AA,OF,2026,50+
78,Jefferson Rojas,Chicago Cubs,20,AA,"SS, 2B",2027,50+
79,Liam Doyle,St. Louis Cardinals,21,CPX,LHP,2026,50+
80,Rhett Lowder,Cincinnati Reds,23,MLB,RHP,2024,50
81,Jacob Reimer,New York Mets,21,AA,3B,2027,50
82,Jaxon Wiggins,Chicago Cubs,23,AA,RHP,2027,50
83,Michael Arroyo,Seattle Mariners,20,AA,2B,2026,50
84,Logan Henderson,Milwaukee Brewers,23,MLB,RHP,2025,50
85,George Klassen,Los Angeles Angels,23,AA,RHP,2025,50
86,Ryan Waldschmidt,Arizona Diamondbacks,22,AA,OF,2027,50
87,Hagen Smith,Chicago White Sox,21,AA,LHP,2026,50
88,Brandon Sproat,New York Mets,24,AAA,RHP,2025,50
89,Khal Stephen,Toronto Blue Jays,22,AA,RHP,2026,50
90,Carlos Lagrange,New York Yankees,22,AA,RHP,2026,50
91,Kendry Rojas,Toronto Blue Jays,22,AAA,LHP,2026,50
92,Thayron Liranzo,Detroit Tigers,22,AA,C,2026,50
93,Spencer Jones,New York Yankees,,AAA,OF,2025,50
94,Slade Caldwell,Arizona Diamondbacks,19,A+,OF,2028,50
95,Theo Gillen,Tampa Bay Rays,19,A,OF,2028,50
96,Blake Mitchell,Kansas City Royals,20,A+,C,2027,50
97,C.J. Kayfus,Cleveland Guardians,23,AAA,"1B, OF",2025,50
98,Caleb Bonemer,Chicago White Sox,19,A,SS,2028,50
99,Tyson Lewis,Cincinnati Reds,19,A,SS,2028,50
100,Dylan Beavers,Baltimore Orioles,23,AAA,OF,2025,50
