"ID","Player","Team","Position","Status","Roster Status","Age","Salary","Contract","Score","Ros","+/-"
"*04o4s*","Shea Langeliers","ATH","C","ECH","Active","27","17","2nd","57.28","98%","-0.1%"
"*01ual*","Paul Goldschmidt","NYY","1B","ECH","Active","37","29","1st","57.09","98%","-0.2%"
"*05xor*","Christian Encarnacion-Strand","CIN","1B","TSN","Active","25","21","1st","56.88","83%","-2.3%"
"*03qmh*","Jake Cronenworth","SD","1B,2B","MCM","Active","31","17","1st","56.72","89%","-1.1%"
"*02zif*","Ryan Pressly","CHC","RP","WEQ","Active","36","11","1st","55.98","74%","-1.6%"
"*041q8*","Brandon Marsh","PHI","OF","LIL","Active","27","5","1st","55.93","53%","-4.2%"
"*05ua7*","Jackson Merrill","SD","OF","RR","Active","21","10","2nd","55.77","100%","0%"
"*041xv*","Nathaniel Lowe","WSH","1B","SML","Active","29","20","1st","55.74","87%","-2%"
"*0374o*","Chad Green","TOR","RP","LIL","Active","33","10","1st","55.01","47%","-3.8%"
"*03pom*","Austin Riley","ATL","3B","KEN","Active","27","30","6th","54.68","100%","0%"
"*005jn*","Charlie Morton","BAL","SP","FLA","Active","41","1","1st","54.53","73%","+0.5%"
"*01svq*","Manny Machado","SD","3B","ISO","Active","32","36","1st","54.52","100%","+0.1%"
"*03ae8*","Dansby Swanson","CHC","SS","LEX","Active","31","24","1st","54.49","97%","-0.3%"
"*03mnq*","Carlos Estevez","KC","RP","SML","Active","32","1","2025","54.35","75%","-2%"
"*05184*","Vinnie Pasquantino","KC","1B","MCM","Active","27","21","2026","53.67","99%","-0.2%"
"*04y97*","Kyle Stowers","MIA","OF","NJ","Active","27","1","1st","53.08","23%","-1.6%"
"*004ee*","Max Scherzer","TOR","SP","RR","Active","40","3","2nd","52.6","84%","-0.5%"
"*04n8z*","Xavier Edwards","MIA","SS","ECH","Active","25","5","2nd","52.18","97%","-0.4%"
"*04t9b*","Michael Busch","CHC","1B","CFL","Active","27","17","1st","51.72","88%","-3.9%"
"*041wv*","Michael King","SD","SP","ISO","Active","29","10","2025","51.62","100%","0%"
"*04b00*","Brice Turang","MIL","2B","RUM","Active","25","15","2nd","51.51","98%","+0.2%"
"*04mn5*","Alec Bohm","PHI","3B","RUM","Active","28","15","5th","51.36","99%","-0.1%"
