"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Salary","Contract","Score","Ros","+/-"
"*0648z*","Victor Scott","STL","OF","459","RR","Active","24","14","1st","54.59","-","-"
"*0516n*","Isaac Collins","MIL","2B,3B,OF","461","KEN","Active","28","5","1st","54.57","-","-"
"*03pdw*","Andrew Benintendi","CHW","OF","464","ROX","Active","31","1","1st","54.38","-","-"
"*063vu*","Matt Shaw","CHC","2B,3B,SS","468","ECH","Active","24","10","1st","54.23","-","-"
"*01fhm*","Martin Perez","CHW","SP","469","RR","Active","34","18","1st","54.13","-","-"
"*04y44*","Josh Jung","TEX","3B","470","FLA","Active","27","8","3rd","54.05","-","-"
"*04yig*","Brooks Lee","MIN","2B,3B,SS","471","RUM","Active","24","10","2nd","54","-","-"
"*04yib*","Brett Baty","NYM","2B,3B","473","TWN","Active","26","5","1st","53.82","-","-"
"*048tn*","Carlos Narvaez","BOS","C","474","TWN","Active","27","5","1st","53.67","-","-"
"*02mxf*","Carson Kelly","CHC","C","475","RR","Active","31","15","1st","53.66","-","-"
"*04pse*","Brendan Donovan","STL","2B,SS,OF","476","LRB","Active","29","5","2nd","53.44","-","-"
"*05t9v*","Jonathan Aranda","TB","1B","478","WEQ","Inj Res","27","10","1st","53.26","-","-"
"*02mzg*","Max Muncy","LAD","3B","484","SML","Active","35","33","1st","52.56","-","-"
"*04mn5*","Alec Bohm","PHI","1B,3B","485","RUM","Active","29","15","5th","52.55","-","-"
"*05yfi*","Colton Gordon","HOU","SP,RP","487","TSN","Active","27","5","1st","52.53","-","-"
"*03qmh*","Jake Cronenworth","SD","1B,2B,SS","489","MCM","Active","32","17","1st","52.49","-","-"
"*04071*","Isaac Paredes","HOU","3B","490","TSN","Active","26","6","2028","52.35","-","-"
"*05rik*","Bubba Chandler","PIT","SP","491","LIL","Active","23","8","1st","52.32","-","-"
"*025ey*","Luke Jackson","TEX/DET/SEA","RP","494","TSN","Minors","34","14","1st","52.05","-","-"
"*041ah*","Josh Lowe","TB","OF","498","RUM","Active","27","15","4th","51.9","-","-"
"*04ydi*","Ronel Blanco","HOU","SP","500","ECH","Inj Res","32","15","2nd","51.79","-","-"
"*04emu*","Eric Wagaman","MIA","1B,3B,OF","506","MCM","Active","28","5","1st","51.25","-","-"
"*03d6n*","Erick Fedde","STL/ATL/MIL","SP,RP","507","WEQ","Active","32","6","1st","51.22","-","-"
"*03pji*","KeBryan Hayes","PIT/CIN","3B","508","TWN","Active","28","5","1st","51.17","-","-"
"*03avk*","Luis Rengifo","LAA","2B,3B,SS,OF","510","NJ","Active","28","5","1st","51.09","-","-"
"*060jo*","Cam Smith","HOU","3B,OF","511","WEQ","Active","22","10","1st","50.98","-","-"
"*05135*","Jake Mangum","TB","OF","512","ECH","Active","29","17","1st","50.94","-","-"
"*0310c*","Hunter Harvey","KC","RP","513","MFR","Active","31","5","2025","50.93","-","-"
"*04pmu*","Ryan Jeffers","MIN","C,OF","514","MCM","Active","28","5","2027","50.91","-","-"
"*05tzn*","Parker Messick","CLE","SP","517","KEN","Active","25","5","1st","50.87","-","-"
"*026mn*","Javier Baez","DET","2B,3B,SS,OF","519","ROX","Active","33","6","1st","50.87","-","-"
"*0510l*","Emerson Hancock","SEA","SP,RP","520","LIL","Active","26","6","1st","50.81","-","-"
"*03zcy*","Mark Vientos","NYM","1B,3B","522","LRB","Active","26","10","2nd","50.71","-","-"
"*06f1r*","Connelly Early","BOS","SP","524","WEQ","Active","23","20","1st","50.6","-","-"
"*05jrh*","Colt Keith","DET","1B,2B,3B","527","LRB","Inj Res","24","8","2nd","50.45","-","-"
"*03yxh*","Cal Quantrill","MIA/ATL/TEX","SP","528","RR","Active","30","12","1st","50.41","-","-"
"*066cf*","Zebby Matthews","MIN","SP","530","NJ","Active","25","13","2nd","50.27","-","-"
"*04nx3*","Jonathan India","KC","2B,3B,OF","531","TWN","Active","29","19","1st","50.2","-","-"
"*03qmr*","Nathan Lukes","TOR","OF","532","TSN","Active","31","9","1st","50.17","-","-"
"*0657l*","Jack Perkins","ATH","SP,RP","535","LRB","Inj Res","26","13","1st","50.05","-","-"
"*041q8*","Brandon Marsh","PHI","OF","538","NJ","Active","28","5","1st","49.97","-","-"
"*04q56*","Logan OHoppe","LAA","C","540","KEN","Active","25","8","3rd","49.89","-","-"
"*04ppi*","Kody Clemens","PHI/MIN","1B,2B,OF","542","YRK","Active","29","5","1st","49.86","-","-"
"*04qnd*","Noelvi Marte","CIN","3B,OF","544","YRK","Active","24","10","2nd","49.84","-","-"
"*05w7z*","Edgardo Henriquez","LAD","RP","546","LRB","Active","23","7","1st","49.82","-","-"
"*05vy6*","Bryce Miller","SEA","SP","550","FLA","Active","27","22","2026","49.57","-","-"
"*04s1h*","Luis Gil","NYY","SP","551","YRK","Active","27","6","2nd","49.53","-","-"
"*01cfr*","Carlos Santana","CLE/CHC","1B,3B","553","KEN","Active","39","1","2026","49.46","-","-"
"*02x0f*","Sean Manaea","NYM","SP","555","WEQ","Active","33","2","1st","49.26","-","-"
"*01spl*","Jurickson Profar","ATL","OF","558","SHS","Active","32","5","2nd","49.19","-","-"
"*04o78*","Matt Wallner","MIN","OF","570","FLA","Active","28","5","2nd","48.57","-","-"
"*04si2*","Andrew Vaughn","CHW/MIL","1B,2B","571","RR","Active","27","15","5th","48.44","-","-"
"*01cdf*","Giancarlo Stanton","NYY","OF,UT","574","KEN","Active","36","7","1st","48.28","-","-"
"*04mrn*","Bo Naylor","CLE","C","575","TWN","Active","25","8","3rd","48.18","-","-"
"*0317o*","Jeff McNeil","NYM","1B,2B,OF","582","TWN","Active","33","5","1st","48.01","-","-"
"*04aeb*","Royce Lewis","MIN","3B","584","WEQ","Active","26","10","3rd","47.93","-","-"
