player_name,batx_dollars,steamer_dollars,steamer-experimental_dollars,zips_dollars
Alika Williams,-27.82559847674895,,,
,,,,-17.54081795653749
Amed Rosario,-19.89088945781312,-20.315720114266863,-16.988946824839925,-16.489780508580758
,,,,-8.342987817657436
,,,,-13.427496653026072
,,,,-7.382292304069303
,,,,-13.402058559949444
Anderson Pilar,-1.2958488746509116,,,
,,,,-12.609567835334095
Andre Lipcius,-28.553091920461956,,,-7.1427330147860175
Andre Pallante,-15.670701330393246,-20.52386945820888,-22.83606266772278,
Andrew Abbott,-15.2390075897855,-14.60551633613162,-17.442579101256197,
,,,,-14.268831455043657
Andrew Benintendi,-4.8684877335976875,-4.546560235342976,-4.964982858014564,-2.384968334998301
Andrew Chafin,0.8075435480880157,-2.4807682366672443,-2.5875266565247212,
,,,,-6.570024677351309
Andrew Heaney,-13.358369933385486,-8.122195768492308,-11.033475392229866,
Andrew Kittredge,-3.24297049722827,-3.889989904166448,-4.2136271224414585,
,,,,-0.2300940770107544
,,,,-14.591616211373072
Andrew McCutchen,-4.205875914918588,-8.990024011571782,-7.232378654609741,-14.2026066911266
,,,,-6.405305388546326
Andrew Nardi,4.801773869333214,1.59115969382275,1.7657287693558965,
,,,,0.1783303108433221
,,,,-6.962966033872931
Andrew Painter,3.4787665486792685,-7.448982681956606,-13.732182676797338,
,,,,-14.821631014393558
,,,,-16.310999162890635
,,,,-12.76561360878487
,,,,-5.547408905740292
Andrew Vaughn,13.65971714081032,7.381608924265401,6.211559438461465,1.0
,,,,-20.569634003111677
,,,,-3.662038524317461
,,,,-8.301097210709043
Andruw Monasterio,-23.237424560131732,-24.910487327980626,-19.96636310218344,-19.05001402668407
Andrés Chaparro,-25.04352174953261,-31.202583246726647,-23.133396232173272,-3.8793716654384696
Andrés Giménez,3.5074697578381326,4.166070462906979,2.141250133848609,4.4098965070608624
Andrés Muñoz,18.81362214667277,16.99918022885676,18.16250881827721,
,,,,25.695498564344593
,,,,-16.71271386762741
Andy Ibáñez,-20.45924995446709,-21.42736437857874,-17.95355137487025,
Andy Pages,-4.190578925847982,-16.988728261675195,-12.608377177503456,8.481751682890987
Angel Chivilli,-5.676494689055944,-11.28170771281264,-11.995390447163418,
,,,,-13.930816460077642
,,,,-19.831300832336595
Angel Martínez,-18.811676142859376,-24.687534139211657,-19.37306419653355,-16.630977976011188
Angel Perdomo,0.8313389412848549,1.0,1.1300060123862934,
Angel Zerpa,-1.0853285443176532,-3.935482148231962,-4.156566988614018,
,,,,-12.2245033340009
,,,,-10.301454217067713
Anthony Banda,-6.773229267072463,-3.1790826436204,-3.3482150542049656,
,,,,-11.56609517843738
Anthony Bender,-2.3132160417094187,-0.4786561299805432,-0.4828484630935774,
,,,,-0.4061648025151645
Anthony DeSclafani,-7.990251245306849,-8.76091129577154,-15.823657111695294,
,,,,-4.839324168101035
,,,,-14.025073307392212
,,,,-6.5917596942500385
,,,,-12.126158597638836
,,,,-17.27601294888112
Anthony Rendon,-25.4019519009048,,,
Anthony Rizzo,-14.439327309318134,-18.118926363085095,-14.41077422738343,-16.60536601130519
Anthony Santander,20.933300828567777,22.29553667474602,21.43453905344759,26.64654548346709
Anthony Veneziano,-8.284434666485721,-7.512227460768869,-7.983651298879208,
Anthony Volpe,2.297710314809077,2.684593329414315,2.795024266420322,5.996465860511667
,,,,-10.176573346809048
Antonio Senzatela,-32.43540791579811,-37.769474083554414,-41.64379464249626,
Armando Alvarez,-28.783969566925805,,,-14.82683915117028
Aroldis Chapman,9.17100614161025,10.009762879404144,10.400684081746366,
,,,,9.905768339637648
,,,,-19.24426019781637
,,,,-15.418084275194598
Austin Adams,-3.96750251783335,,,
,,,,-8.306500372997911
Austin Barnes,-12.492266882991183,-10.76788510465989,-7.18783277375802,
,,,,-13.819784432801514
,,,,-15.21464937659884
Austin Gomber,-40.41100055151714,-35.48915504355872,-39.33233400162763,
Austin Hays,-2.3425836177747494,-1.9403460750061243,-2.2416271038069544,-5.253031346010599
Austin Hedges,-15.0237496916744,-13.823202192801674,-11.255907934076514,
Austin Martin,-19.906090319112003,-24.559799686733633,-19.17345050426782,-17.751827356249482
,,,,-9.552827181689734
Austin Riley,31.42094289318853,25.672911536110536,24.98037519647447,24.929367362475343
Austin Shenton,-24.98761190538271,-27.853328944013725,-21.097887501867397,-13.079270285387864
Austin Slater,-15.71055278020685,-19.533615342775747,-15.84387027270116,
Austin Voth,-5.9298366774766915,,,
,,,,-7.449326025072397
,,,,-10.01166082760458
Austin Wells,10.190378032882256,13.431749452384866,11.939954791886665,2.962279742668639
Austin Wynns,-15.165635890438,-14.816416100598127,-9.322672515408884,
Bailey Falter,-19.854382608474765,-18.94616843652887,-22.92646164719299,
,,,,-13.972676564215652
Bailey Ober,12.548581661433598,4.409467961967657,4.981228373487426,
,,,,7.100421020787965
Beau Brieske,1.336268456453264,-0.9078140096175416,-0.9618558778622116,
