Name,Team,POS,ADP,PA,mRBI,mR,mSB,mHR,mOBP,mSLG,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Mitch Haniger","SEA","OF/DH",647.5499877929688,366.493,-6.853915472297643,-7.081406476625046,-3.0580318302335803,-4.102417058807961,-3.427948180211817,-3.3135807812820723,-27.837299799458123,12.277191499022852,-14.560108300435271,"Mitch Haniger","14274",571745
"Luke Maile","KCR","C",999,17.4045,-14.646178814730803,-13.411673322916217,-3.2667314625565793,-9.445407848416478,-0.14036171392810512,-0.25338959335119177,-41.16374275589938,25.60241506929359,-14.561327686605788,"Luke Maile","13355",571912
"Jimmy Crooks","STL","C",999,12.2169,-14.716704089101482,-13.497780759091201,-3.3109846020947633,-9.465299562247326,-0.054991649731984824,-0.12589093818227348,-41.17165160044903,25.60241506929359,-14.56923653115544,"Jimmy Crooks","sa3019841",699625
"Garrett Stubbs","PHI","C",999,17.6593,-14.655265128937462,-13.409151336926097,-3.239080407869615,-9.456397270334534,-0.13678171388160013,-0.2967049671845052,-41.19338082513381,25.60241506929359,-14.590965755840221,"Garrett Stubbs","18067",596117
"Tomás Nido","DET","C",999,17.3791,-14.624181398260177,-13.42930912184904,-3.2946687606373595,-9.42151223077322,-0.2261145256231955,-0.22494751084915462,-41.220733547992154,25.60241506929359,-14.618318478698562,"Tomas Nido","13755",621512
"Omar Narváez","CHW","C",999,17.6196,-14.649861921633994,-13.42934515604912,-3.2999642527595863,-9.442128047305511,-0.1383524643806811,-0.26731086848276153,-41.22696271061165,25.60241506929359,-14.624547641318067,"Omar Narvaez","13338",553882
"Martín Maldonado","SDP","C",999,28.5675,-14.4273380027609,-13.251852132367382,-3.2772938220351153,-9.235288304859692,-0.5601093228041683,-0.5364629649285092,-41.28834454975577,25.60241506929359,-14.685929480462178,"Martin Maldonado","6887",455117
"Joe Mack","MIA","C",999,12.2169,-14.722370394424155,-13.516281249978949,-3.3179116781494633,-9.442852162701158,-0.13560362489692193,-0.1590809419807928,-41.29410005213144,25.60241506929359,-14.69168498283785,"Joe Mack","sa3017374",691788
"Isiah Kiner-Falefa","PIT","2B/3B/SS",362.07000732421875,503.487,-5.431065173001759,-4.315124071608295,0.7041719545158511,-6.6186121255550985,-2.39181629843881,-5.596482448805495,-23.648928162893608,7.947465494409344,-14.701462668484261,"Isiah Kiner-Falefa","16512",643396
"Curt Casali","ATL","C",999,11.7095,-14.750195989288134,-13.509237744960744,-3.311871954909454,-9.48919516719638,-0.0717017775519624,-0.18197112359652853,-41.31417375750319,25.60241506929359,-14.711758688209606,"Curt Casali","12510",592200
"Seby Zavala","BOS","C",999,11.7591,-14.732205474110376,-13.518442958391763,-3.3068054566492107,-9.450476605409184,-0.14631525827870098,-0.1718436494994643,-41.3260894023387,25.60241506929359,-14.723674333045118,"Seby Zavala","18887",664874
"Jason Delay","PIT","C",999,17.5077,-14.668236927571892,-13.432137334116346,-3.2816733387094104,-9.502484708797065,-0.15891809977748267,-0.2849520186999983,-41.3284024276722,25.60241506929359,-14.725987358378609,"Jason Delay","19806",641511
"Reese McGuire","CHC","C",999,11.8331,-14.750297190112502,-13.531917494399313,-3.2937814099553444,-9.507212715310917,-0.12676082479736422,-0.1896654809968628,-41.39963511557231,25.60241506929359,-14.797220046278719,"Reese McGuire","15674",624512
"René Pinto","ARI","C",999,5.79892,-14.831224172289254,-13.619520124395377,-3.322720556715469,-9.496393668632287,-0.08863859012047788,-0.05735926087319824,-41.41585637302606,25.60241506929359,-14.81344130373247,"Rene Pinto","19859",650907
"Austin Wynns","CIN","C",999,5.89587,-14.843872176534013,-13.619718280284067,-3.3189994000602203,-9.518500305005398,-0.047529628964279334,-0.07021137904373438,-41.41883116989172,25.60241506929359,-14.816416100598127,"Austin Wynns","15271",642851
"Jakson Reetz","NYM","C",999,5.97346,-14.837416637464107,-13.61548495969588,-3.3204306148966265,-9.502271738161005,-0.07122596337741102,-0.07413529238128012,-41.420965205976316,25.60241506929359,-14.818550136682726,"Jakson Reetz","17837",656883
"Brett Sullivan","SDP","C/1B",999,5.92002,-14.846543444062592,-13.619502107295338,-3.3185414123362538,-9.524932101996132,-0.05550723839543503,-0.07404076532755482,-41.4390670694133,25.60241506929359,-14.83665200011971,"Brett Sullivan","18217",664954
"César Salazar","HOU","C/DH",749.8400268554688,5.97097,-14.852290685920604,-13.618295165600394,-3.3196005105474313,-9.527274810728292,-0.045927412468312015,-0.08851351327456523,-41.451902098539605,25.60241506929359,-14.849487029246013,"Cesar Salazar","21587",663967
"Dom Nuñez","CLE","C",999,12.2169,-14.764118918864636,-13.527828299874193,-3.3104693648389643,-9.485106078937806,-0.14593363447002064,-0.24513607883508834,-41.47859237582071,25.60241506929359,-14.876177306527122,"Dom Nunez","15055",624513
"Chuckie Robinson","LAA","C",999,5.87175,-14.852088320458096,-13.629716106532609,-3.320316117965635,-9.522972745486559,-0.07769191157531244,-0.09121065609386379,-41.49399585811207,25.60241506929359,-14.891580788818482,"Chuckie Robinson","19824",642020
"Blake Hunt","SEA","C",999,6.10843,-14.848182619989602,-13.629193696529446,-3.3220908225286783,-9.517989172940014,-0.09998826634220707,-0.0973720218637852,-41.51481660019373,25.60241506929359,-14.91240153090014,"Blake Hunt","sa3004153",675448
"Tucker Barnhart","TEX","C",999,5.81507,-14.870200264563017,-13.633625173006324,-3.3176826832211423,-9.547635064401442,-0.06555667411231592,-0.11436338293990424,-41.549063242244145,25.60241506929359,-14.946648172950557,"Tucker Barnhart","10200",571466
"Christian Moore","LAA","2B",999,295.569,-8.372708109456513,-7.892527988288949,-2.1764612438503157,-6.001628182848981,-1.9789501993780088,-1.8847101454319921,-28.306985869254756,12.255253069645287,-15.051732799609468,"Christian Moore","sa3025168",695681
"Dylan Moore","SEA","2B/3B/SS/OF",344.0899963378906,350.354,-8.209599496122369,-6.66780292169476,2.3843599120372843,-5.764801890495849,-1.725366152666164,-4.030638978551325,-24.013849527493182,7.947465494409344,-15.066384033083835,"Dylan Moore","18042",664238
"Dane Myers","MIA","OF",674.9299926757812,336.841,-7.997699878620651,-7.556636673997122,-1.4705577791107514,-6.10917996622274,-2.108786393262563,-3.160214505110328,-28.403075196324156,12.277191499022852,-15.125883697301305,"Dane Myers","22054",667472
"Rob Refsnyder","BOS","OF",735.5999755859375,227.363,-9.778113750798239,-8.937958901008804,-2.512080912919149,-6.884104770751097,0.5791609092939672,-0.8974237286265352,-28.430521154809863,12.277191499022852,-15.153329655787008,"Rob Refsnyder","13770",608701
"Johan Rojas","PHI","OF",570.9099731445312,281.808,-9.320579685381361,-7.973771666433077,1.4755675870062508,-7.571071750521696,-2.223082720582373,-2.8606927577966497,-28.47363099370891,12.277191499022852,-15.196439494686057,"Johan Rojas","24336",679032
