Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mK9,mIP,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Reynaldo López","ATL","SP",165.08999633789062,178.861,3.958856290650813,-1.7216335586107867,-4.881516186305627,-4.581269052626665,-1.5967274101675304,3.7247279272379092,-5.0975619898218865,8.012156919411257,3.91459492958937,"Reynaldo Lopez","16400",625643
"Yimi García","TOR","RP",542.9500122070312,61,-2.7511034252460957,-0.8549634919764666,0.20727817130923507,0.7253921412402661,0.13350049421822932,-2.7086765345853183,-5.24857264504015,8.05685776559286,3.808285120552709,"Yimi Garcia","12095",554340
"Nathan Eovaldi","TEX","SP",202.39999389648438,175.964,3.235826742196257,-1.7216335586107867,-3.2960522230918636,-2.273999678386582,-4.73195580250561,3.5666385940152914,-5.221175926383292,8.012156919411257,3.7909809930279645,"Nathan Eovaldi","9132",543135
"David Robertson",,"RP",429.20001220703125,55,-2.9548781741592123,-1.7216335586107867,1.1639738426803274,-0.222380560518201,1.471256224632567,-3.0361859665972926,-5.299848192572599,8.05685776559286,3.75700957302026,"David Robertson","8241",502085
"A.J. Minter","NYM","RP",669.25,54,-2.938953370447315,-1.051122191332293,0.8682183482803927,0.3761436267998075,0.3984214727424572,-3.090770871932622,-5.438062985889573,8.05685776559286,3.618794779703286,"A.J. Minter","18655",621345
"Cristopher Sánchez","PHI","SP",170.7100067138672,169.778,3.5242495739303146,-1.7216335586107867,0.8801192224104891,-3.7210646703438357,-7.87610276420169,3.228949463623673,-5.6854827331918365,8.012156919411257,3.3266741862194205,"Cristopher Sanchez","20778",650911
"Bryan Woo","SEA","SP",135.7100067138672,143.534,1.3814440519365683,-1.7216335586107867,-3.4385586987092376,0.9822960461446714,-4.690176768037507,1.7964338557912276,-5.690195071485064,8.012156919411257,3.321961847926192,"Bryan Woo","30279",693433
"Kirby Yates","LAD","RP",204.97999572753906,60,-2.7504076608164763,0.7790416436290363,-0.6705839433775425,-1.9345207479073938,1.538341890282241,-2.763261439920648,-5.801390258110783,8.05685776559286,3.2554675074820767,"Kirby Yates","9073",489446
"Aaron Bummer","ATL","RP",741.219970703125,61,-2.5451639734916864,-1.4227914337014798,2.1472765085620082,-1.5437726643222232,0.186756227572175,-2.7086765345853183,-5.886371869966525,8.05685776559286,3.170485895626334,"Aaron Bummer","16258",607481
"Blake Treinen","LAD","RP",461.6000061035156,59,-2.7565919468221587,0.06444345740646695,0.03140780204350208,-0.30845770710964254,-0.14604944303157555,-2.8178463452559765,-5.933094182769383,8.05685776559286,3.123763582823476,"Blake Treinen","12572",595014
"Nestor Cortes","MIL","SP",269.6400146484375,142.06,1.2467027732676081,-1.7216335586107867,-4.511748696413874,-0.10157425303257357,-2.5647096689321156,1.7159757586325242,-5.93698764508922,8.012156919411257,3.0751692743220373,"Nestor Cortes","17874",641482
"Kevin Gausman","TOR","SP",170.44000244140625,193.238,3.854803844736046,-1.7216335586107867,-5.443815401642938,-2.930976994801653,-4.210827481211528,4.509505878969401,-5.9429437125614575,8.012156919411257,3.069213206849799,"Kevin Gausman","14107",592332
"Bryce Miller","SEA","SP",78.83999633789062,177.673,2.742314305008447,-1.7216335586107867,-4.781956023164648,-0.7462767314899843,-5.185995493981303,3.6599300075406744,-6.033617494697601,8.012156919411257,2.9785394247136563,"Bryce Miller","29837",682243
"José Alvarado","PHI","RP",628.25,60,-2.717089299289467,-0.8488247906685357,1.1829658413672428,-1.7472281939246237,0.8137930396845258,-2.763261439920648,-6.079644842751505,8.05685776559286,2.9772129228413546,"Jose Alvarado","17780",621237
"Luke Weaver","NYY","RP",359.2200012207031,68,-2.502569182956154,-0.15571195923448658,-0.9618669929583087,0.21623313949406428,-0.3888799551783232,-2.3265821972380154,-6.119377148071224,8.05685776559286,2.937480617521636,"Luke Weaver","16918",596133
"Shane Bieber","CLE","SP",438.0199890136719,93.664,-0.8082849290414633,-1.7216335586107867,-0.4527212249357004,-0.2721944051360897,-1.9295670858391476,-0.9257151067537736,-6.11011631031696,8.012156919411257,2.9020406090942963,"Shane Bieber","19427",669456
"Kyle Finnegan","WSN","RP",303.2900085449219,64,-2.8296448159222463,4.52196247113083,-1.3038667522323395,-2.380987968818294,-1.6198457748427928,-2.544921818579332,-6.157304659264176,8.05685776559286,2.899553106328684,"Kyle Finnegan","15009",640448
"Gerrit Cole","NYY","SP",60.959999084472656,132.519,1.15300919993624,-1.7216335586107867,-4.431578537569533,-0.7344890475173066,-1.6531740883371489,1.1951919845327952,-6.192674047565741,8.012156919411257,2.8194828718455156,"Gerrit Cole","13125",543037
"Dustin May","LAD","RP",411.3800048828125,74.4167,-1.8014940894227665,-1.7216335586107867,-0.08420923204459574,-0.7242989580630853,-0.056342499371516176,-1.9763271112373555,-6.364305448750107,8.05685776559286,2.692552316842752,"Dustin May","19716",669160
"Gregory Santos","SEA","RP",714.0900268554688,62,-2.787359110671077,-0.2673243595134858,1.0206155328216286,-1.1127737940008309,-0.7089478652712616,-2.6540916292499896,-6.5098812258850165,8.05685776559286,2.5469765397078428,"Gregory Santos","21894",666619
"Pierce Johnson","ATL","RP",709.4400024414062,64,-2.53905691272998,-1.1239493087921728,0.004607699974175857,-1.7102594628264285,1.238422736752473,-2.544921818579332,-6.675157066201264,8.05685776559286,2.381700699391596,"Pierce Johnson","13435",572955
"Jeffrey Springs","OAK","SP",264.95001220703125,153.931,2.036600904816569,-1.7216335586107867,-3.3355688113391873,-1.7796936016199874,-4.319525261556344,2.3639532898057514,-6.755867038503984,8.012156919411257,2.2562898809072722,"Jeffrey Springs","17677",605488
"Dylan Lee","ATL","RP",747.1500244140625,62,-2.6134239011368723,-1.7216335586107867,0.08250804533669595,-0.05941135786159689,0.14552306600383894,-2.6540916292499896,-6.82052933551871,8.05685776559286,2.236328430074149,"Dylan Lee","19996",669276
"Drew Rasmussen","TBR","SP",239.77999877929688,127.857,0.9254243785450258,-1.7216335586107867,-1.5471315461756032,-1.5765620066922805,-3.837083663600231,0.9407228462292613,-6.816263550304615,8.012156919411257,2.195893369106642,"Drew Rasmussen","25385",656876
"Kevin Ginkel","ARI","RP",610.0499877929688,61,-2.714461060675858,-0.7715332357405157,0.22720338131794307,-0.6180067946649501,-0.2963166205431272,-2.7086765345853183,-6.881790864891826,8.05685776559286,2.1750669007010326,"Kevin Ginkel","19876",656464
"Reed Garrett","NYM","RP",740.219970703125,66,-2.4687871013483704,-1.7216335586107867,0.5327983659980959,-1.5551183208110462,0.40528190164179484,-2.4357520079086736,-7.243210721038987,8.05685776559286,1.8136470445538724,"Reed Garrett","16866",657585
