player_name,zips_auction_value,steamer-experimental_auction_value,batx_auction_value,steamer_auction_value
Jordan Westburg,3.2522940653167214,8.94230594808848,9.665966072023016,10.070252771395277
Tyler Stephenson,10.219195236340028,8.797810867600447,14.776105763188262,10.042065048679444
Aroldis Chapman,9.905768339637648,10.400684081746366,9.17100614161025,10.009762879404144
Carlos Rodón,5.520825109841133,11.41231766564077,0.3050492157416584,10.001504011161655
Willy Adames,12.33706776629011,10.134678973338126,17.023905052830415,9.785133968912357
Nick Pivetta,-1.18820606146706,9.389952479905428,6.910842179981355,9.597444246325043
Brandon Woodruff,7.702048836722313,9.658829325800411,14.586768402761132,9.507221316295729
George Springer,-0.0828624993979003,7.9407180918721,8.979739203627965,9.423572872784357
TJ Friedl,-6.129599063390209,8.111011997973911,-2.214768396798203,9.393892911473973
Griffin Jax,15.962643036663296,9.97098623409046,7.417853540740112,9.333710044226653
Michael King,19.04539112725815,10.6470243346476,13.517249916012112,9.192185501053435
Kerry Carpenter,-0.2649927917300789,9.174848307034615,7.378448701508242,9.178723854427036
Cade Smith,14.669421539010685,9.806525368295352,13.3346258114422,9.162610276678365
Byron Buxton,1.4494921589702687,9.264838681523678,8.312577463630262,9.140721514027204
Justin Martinez,11.815393214862429,9.565880787004302,7.606048358263067,8.938763239463512
Bo Bichette,1.5995748550146562,9.257958614194116,5.613355709631508,8.912827579387125
Robert Suarez,7.875331671801366,9.498221173121122,3.4205506332428737,8.906930803886121
Josh Lowe,3.5320193900429224,8.667609170853199,6.762164857203863,8.878188189821035
A.J. Puk,16.820274895068653,9.45979599478547,8.79078283169401,8.851802828634483
Jesús Sánchez,3.2456733668008466,8.420540740118991,7.41038579788611,8.778966142497403
Chris Martin,7.052952300556037,9.256091993596783,8.767530684620283,8.654599128952183
Ryan Pressly,8.03837161487122,9.084105255584907,5.833983012024454,8.501561372669446
Matt Strahm,13.7089671029555,8.947857858641628,11.15292093629443,8.369353091454395
Brandon Nimmo,11.222728877466867,6.980194223204644,7.588285633507718,8.365431427598551
Max Fried,10.520790486018884,9.508309405650516,14.577802935070164,8.313599439565664
