player_name,auction_value
Wyatt Langford,17.048210862040385
Trea Turner,16.653265700365377
Christian Yelich,16.644600187226203
Junior Caminero,16.399742421071196
Josh Naylor,16.22729845529042
Ian Happ,15.808359505882713
Marcus Semien,15.407843746340893
Francisco Alvarez,14.738002990884182
Cody Bellinger,14.666482411122804
Steven Kwan,14.153059425736084
Randy Arozarena,14.125275779235054
Ozzie Albies,13.90395458395432
Paul Goldschmidt,13.684206169255972
Isaac Paredes,13.48379219090061
Austin Wells,13.431749452384866
Royce Lewis,13.20097616773165
Matt Chapman,13.109443126434126
Jorge Soler,13.066210486312745
Adolis García,13.007836437274385
Seiya Suzuki,12.945885901735906
Brenton Doyle,12.65625786737978
Taylor Ward,12.538170000740728
Gabriel Moreno,12.531536397796462
CJ Abrams,12.37441524377564
Brandon Lowe,12.263163007506872
J.T. Realmuto,11.616206834260232
Lars Nootbaar,11.284196784842855
Jurickson Profar,10.987439466771567
Logan O'Hoppe,10.965280572957369
JJ Bleday,10.878817478077185
Jung Hoo Lee,10.78202100751733
Jake Burger,10.104349794525517
Jordan Westburg,10.070252771395277
Tyler Stephenson,10.042065048679444
Willy Adames,9.785133968912357
George Springer,9.423572872784357
TJ Friedl,9.393892911473973
Kerry Carpenter,9.178723854427036
Byron Buxton,9.140721514027204
Bo Bichette,8.912827579387125
Josh Lowe,8.878188189821035
Jesús Sánchez,8.778966142497403
Brandon Nimmo,8.365431427598551
Jonathan India,8.304001649524547
Ryan Jeffers,8.27790043088406
Nolan Arenado,7.962049135630618
Cedric Mullins,7.730243858367265
Xander Bogaerts,7.614082639710226
Lane Thomas,7.568244205634947
Alejandro Kirk,7.519386374086513
Nick Castellanos,7.465379296753455
Keibert Ruiz,7.398998945449272
Andrew Vaughn,7.381608924265401
Alec Bohm,7.096969179118124
Ryan McMahon,6.891494674075486
Jasson Domínguez,6.882628967135094
Luis Arraez,6.813940132172296
Max Muncy,6.685753090994467
Zach Neto,6.6166685629826265
Gleyber Torres,6.311980610952632
Luis Rengifo,6.296762166756062
Bo Naylor,6.2264044549563256
Nathaniel Lowe,6.1844393714539745
Colton Cowser,6.060082346638928
